username,total_commits,total_pull_requests,repositories_count,repositories,first_contribution,last_contribution
esteele,911,3,83,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.ExtendedPathIndex, Products.LinguaPlone, Products.PloneLanguageTool, Products.PlonePAS, Products.PloneTestCase, Products.ResourceRegistries, Products.contentmigration, archetypes.querywidget, archetypes.referencebrowserwidget, buildout.coredev, diazo, plone.app.blob, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.dexterity, plone.app.discussion, plone.app.form, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.robotframework, plone.app.search, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.viewletmanager, plone.app.vocabularies, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.browserlayer, plone.cachepurging, plone.dexterity, plone.folder, plone.formwidget.namedfile, plone.i18n, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.namedfile, plone.openid, plone.outputfilters, plone.portlet.collection, plone.portlets, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.resource, plone.resourceeditor, plone.rfc822, plone.schemaeditor, plone.session, plone.stringinterp, plone.subrequest, plone.supermodel, plone.testing, plone.transformchain, plone.uuid, plonetheme.classic, plonetheme.sunburst",2012-01-01,2012-12-30
thet,540,4,17,"Products.ATContentTypes, Products.CMFPlone, buildout.coredev, plone.api, plone.app.discussion, plone.app.event, plone.app.portlets, plone.app.querystring, plone.app.testing, plone.app.theming, plone.app.vocabularies, plone.event, plone.folder, plone.formwidget.datetime, plone.formwidget.recurrence, plone.portlet.static, plonetheme.sunburst",2012-01-01,2012-12-30
davisagli,422,4,70,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.PlonePAS, Products.PloneTestCase, Products.PortalTransforms, Products.ResourceRegistries, archetypes.querywidget, buildout.coredev, five.intid, plone.api, plone.app.async, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.dexterity, plone.app.discussion, plone.app.folder, plone.app.form, plone.app.i18n, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.behavior, plone.dexterity, plone.formwidget.contenttree, plone.formwidget.datetime, plone.formwidget.namedfile, plone.i18n, plone.indexer, plone.keyring, plone.namedfile, plone.openid, plone.outputfilters, plone.portlet.collection, plone.protect, plone.recipe.zope2instance, plone.resource, plone.rfc822, plone.schemaeditor, plone.session, plone.subrequest, plone.supermodel, plone.testing, plone.transformchain, plone.z3cform, plonetheme.sunburst",2012-01-01,2012-12-30
mauritsvanrees,332,3,79,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.LinguaPlone, Products.Marshall, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.PlonePAS, Products.PloneTestCase, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, Products.statusmessages, Products.validation, archetypes.multilingual, archetypes.referencebrowserwidget, archetypes.schemaextender, borg.localrole, buildout.coredev, collective.monkeypatcher, diazo, plone.api, plone.app.blob, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.controlpanel, plone.app.customerize, plone.app.folder, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.layout, plone.app.ldap, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.search, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.workflow, plone.caching, plone.contentrules, plone.dexterity, plone.formwidget.contenttree, plone.i18n, plone.memoize, plone.openid, plone.outputfilters, plone.portlet.collection, plone.protect, plone.recipe.alltests, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.resource, plone.subrequest, plone.testing, plone.theme, plone.transformchain, plone.z3cform, plonetheme.classic, plonetheme.sunburst",2012-01-01,2012-12-30
zupo,187,3,1,plone.api,2012-02-19,2012-12-23
garbas,185,3,29,"Products.Archetypes, Products.CMFPlone, Products.ExtendedPathIndex, Products.PloneLanguageTool, buildout.coredev, diazo, mockup, planet.plone.org, plone.app.blob, plone.app.blocks, plone.app.i18n, plone.app.layout, plone.app.portlets, plone.app.querystring, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.widgets, plone.batching, plone.dexterity, plone.formwidget.namedfile, plone.intelligenttext, plone.supermodel, plone.tiles, plone.transformchain, plonetheme.sunburst",2012-01-08,2012-12-30
optilude,178,1,5,"buildout.coredev, plone.app.theming, plone.app.upgrade, plone.resource, plone.resourceeditor",2012-01-15,2012-10-28
hannosch,151,0,35,"Plone, Products.ATContentTypes, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.ExtendedPathIndex, Products.PloneLanguageTool, Products.PloneTestCase, Products.ResourceRegistries, buildout.coredev, plone.app.caching, plone.app.contentmenu, plone.app.controlpanel, plone.app.dexterity, plone.app.discussion, plone.app.iterate, plone.app.linkintegrity, plone.app.registry, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.z3cform, plone.autoform, plone.dexterity, plone.folder, plone.i18n, plone.namedfile, plone.portlets, plone.recipe.zope2instance, plone.schemaeditor, plone.uuid, plone.z3cform, plonetheme.sunburst",2012-04-22,2012-11-04
vangheem,135,1,26,"Products.ATContentTypes, Products.CMFPlone, Products.PlonePAS, buildout.coredev, five.intid, plone.app.async, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.controlpanel, plone.app.layout, plone.app.portlets, plone.app.registry, plone.app.search, plone.app.tiles, plone.app.upgrade, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.workflowmanager, plone.protect, plonetheme.sunburst",2012-01-15,2012-12-16
k-j-kleist,116,0,22,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFFormController, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.PloneLanguageTool, Products.PlonePAS, buildout.coredev, plone.app.content, plone.app.contentrules, plone.app.controlpanel, plone.app.dexterity, plone.app.discussion, plone.app.layout, plone.app.portlets, plone.app.registry, plone.app.theming, plone.app.users, plone.dexterity, plone.i18n, plone.namedfile",2012-01-08,2012-12-16
lrowe,103,2,16,"Products.Archetypes, Products.CMFEditions, Products.CMFPlone, buildout.coredev, diazo, plone.app.contentlisting, plone.app.portlets, plone.app.theming, plone.app.upgrade, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.namedfile, plone.portlets, plone.protect, plone.session, plone.subrequest",2012-01-22,2012-11-25
do3cc,94,2,25,"Products.Archetypes, Products.CMFPlone, Products.PortalTransforms, buildout.coredev, plone.app.async, plone.app.blob, plone.app.contentlisting, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.discussion, plone.app.multilingual, plone.app.relationfield, plone.app.search, plone.app.testing, plone.app.upgrade, plone.app.users, plone.formwidget.contenttree, plone.multilingualbehavior, plone.namedfile, plone.outputfilters, plone.recipe.zope2instance, plone.resource, plone.supermodel, plone.testing",2012-03-25,2012-11-25
maartenkling,86,37,20,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFPlone, Products.ResourceRegistries, plone.app.collection, plone.app.contentmenu, plone.app.contenttypes, plone.app.controlpanel, plone.app.discussion, plone.app.layout, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.search, plone.app.theming, plone.app.users, plone.i18n, plone.outputfilters, plonetheme.sunburst",2012-03-11,2012-12-02
tdesvenain,86,10,19,"Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFPlone, Products.LinguaPlone, archetypes.referencebrowserwidget, buildout.coredev, plone.app.collection, plone.app.contentrules, plone.app.event, plone.app.portlets, plone.app.search, plone.app.upgrade, plone.app.workflow, plone.contentrules, plone.locking, plone.schemaeditor, plone.stringinterp, plonetheme.sunburst",2012-01-01,2012-10-14
smcmahon,83,0,10,"Installers-UnifiedInstaller, Products.Archetypes, Products.CMFPlone, plone.app.controlpanel, plone.app.form, plone.app.z3cform, plone.recipe.precompiler, plone.recipe.unifiedinstaller, plonetheme.classic, plonetheme.sunburst",2012-01-15,2012-12-30
bloodbare,78,0,4,"archetypes.multilingual, planet.plone.org, plone.app.multilingual, plone.multilingualbehavior",2012-02-05,2012-11-18
rpatterson,63,3,19,"Products.CMFEditions, Products.CMFPlone, Products.Marshall, Products.ResourceRegistries, buildout.coredev, diazo, plone.app.blob, plone.app.content, plone.app.contentmenu, plone.app.controlpanel, plone.app.iterate, plone.app.layout, plone.app.testing, plone.app.upgrade, plone.app.users, plone.outputfilters, plone.recipe.zope2instance, plonetheme.classic, plonetheme.sunburst",2012-01-22,2012-11-18
witsch,62,3,6,"Products.CMFPlone, buildout.coredev, plone.api, plone.app.blob, plone.app.layout, plone.app.theming",2012-02-19,2012-10-14
hvelarde,58,6,18,"Products.ATContentTypes, Products.Archetypes, Products.CMFPlone, buildout.coredev, planet.plone.org, plone.api, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.dexterity, plone.app.referenceablebehavior, plone.app.robotframework, plone.app.theming, plone.app.tiles, plone.formwidget.contenttree, plone.recipe.zope2instance, plone.resource, plone.tiles",2012-01-08,2012-12-23
eleddy,58,3,8,"Products.CMFPlone, buildout.coredev, plone.app.caching, plone.app.content, plone.app.contentrules, plone.app.discussion, plone.app.search, plonetheme.sunburst",2012-01-15,2012-10-07
