organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
py76,2487,210,1,mauritsvanrees,135,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.LinguaPlone, Products.Marshall, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, Products.statusmessages, Products.validation, archetypes.multilingual, archetypes.querywidget, archetypes.referencebrowserwidget, archetypes.schemaextender, bobtemplates.plone, borg.localrole, buildout.coredev, collective.monkeypatcher, diazo, documentation, experimental.publishtraverse, five.intid, jenkins.plone.org, mockup, mr.roboto, papyrus, plone.alterego, plone.api, plone.app.blob, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.folder, plone.app.i18n, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.search, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.dexterity, plone.event, plone.folder, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.datetime, plone.formwidget.namedfile, plone.formwidget.querystring, plone.formwidget.recurrence, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.openid, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.alltests, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.resourceeditor, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.stringinterp, plone.subrequest, plone.supermodel, plone.synchronize, plone.testing, plone.theme, plone.tiles, plone.transformchain, plone.uuid, plone.versioncheck, plonetheme.barceloneta, plonetheme.sunburst",2016-01-03,2016-12-25
freitag,1197,303,1,gforcada,130,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.ExtendedPathIndex, Products.LinguaPlone, Products.Marshall, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PloneLanguageTool, Products.PlonePAS, Products.ResourceRegistries, Products.contentmigration, Products.statusmessages, Products.validation, ansible-playbook, archetypes.multilingual, archetypes.referencebrowserwidget, archetypes.schemaextender, bobtemplates.plone, borg.localrole, buildout.coredev, collective.indexing, collective.monkeypatcher, documentation, guillotina, jenkins.plone.org, mockup, mr.roboto, plone.alterego, plone.api, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.folder, plone.app.i18n, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.openid, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.autoform, plone.batching, plone.behavior, plone.cachepurging, plone.caching, plone.contentrules, plone.dexterity, plone.event, plone.folder, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.datetime, plone.formwidget.multifile, plone.formwidget.namedfile, plone.formwidget.querystring, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.jenkins_node, plone.jenkins_server, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.codeanalysis, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.resourceeditor, plone.restapi, plone.rfc822, plone.scale, plone.schemaeditor, plone.stringinterp, plone.testing, plone.theme, plone.tiles, plone.uuid, plone.versioncheck, ploneorg.core, plonetheme.barceloneta, plonetheme.sunburst, training",2016-01-03,2016-12-25
kleinundpartner,978,191,1,jensens,77,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFEditions, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.MimetypesRegistry, Products.PortalTransforms, Products.statusmessages, Products.validation, archetypes.multilingual, bobtemplates.plone, borg.localrole, buildout.coredev, documentation, five.intid, plone.alterego, plone.app.async, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contenttypes, plone.app.dexterity, plone.app.drafts, plone.app.event, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.relationfield, plone.app.standardtiles, plone.app.tiles, plone.app.upgrade, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.z3cform, plone.autoform, plone.behavior, plone.cachepurging, plone.caching, plone.contentrules, plone.dexterity, plone.formwidget.namedfile, plone.github, plone.i18n, plone.jenkins_node, plone.namedfile, plone.outputfilters, plone.patternslib, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.zope2instance, plone.registry, plone.resource, plone.rfc822, plone.scale, plone.schemaeditor, plone.session, plone.subrequest, plone.supermodel, plone.tiles, plone.transformchain, plone.versioncheck, ploneorg.core, plonetheme.barceloneta",2016-01-03,2016-12-25
Independent,963,437,102,"2silver, AnneGilles, AuroreMariscal, DieKatze, Gagaro, Gomez, Martronic-SA, MatthewWilkes, RobZoneNet, SteffenKockel, SyZn, aclark4life, acsr, albertduran, alecpm, allcaps, andreesg, brunobbbs, calvinhp, casdr, cdw9, cedricmessiant, cewing, chaoflow, chubchik, cleberjsantos, danmur, davidjb, davilima6, dbitouze, deankarlen, demarant, dhruvkhattar, displacedaussie, dmunicio, do3cc, fgrcon, fhelmberger, frisi, fulv, geier, ghost, gvizdyk, hackerkid, hannosch, huubbouma, hvelarde, ida, ivanteoh, janga1997, jcbrand, jean, jianaijun, jochumdev, jordnV, jpgimenez, julianhandl, karalics, keul, khanstark, krissik, l34marr, lccruz, loechel, lrowe, lukebrannon, malthe, marcyang001, martior, metatoaster, neilferreira, npmcdn-to-unpkg-bot, obct537, oz123, petri, pkariz, prakharjoshi, pysailor, rafaelbco, ramiroluz, reyha, rnixx, rodfersou, rosehosting, rristow, seanupton, sebasgo, serge73, sgeulette, simon-previdente, skleinfeldt, smcmahon, staeff, stefanfoulis, sverbois, tmog, tomgross, vikas-parashar, vincentfretin, vipod, witekdev, zmijunkie",101,"Installers-UnifiedInstaller, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFPlone, Products.ExtendedPathIndex, Products.LinguaPlone, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, ansible-playbook, ansible.plone_server, archetypes.querywidget, bobtemplates.plone, buildout.coredev, diazo, documentation, jenkins.plone.org, mockup, papyrus, planet.plone.org, plone.api, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.i18n, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.search, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.batching, plone.caching, plone.dexterity, plone.docker, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.datetime, plone.formwidget.hcaptcha, plone.formwidget.multifile, plone.formwidget.namedfile, plone.formwidget.recaptcha, plone.formwidget.recurrence, plone.i18n, plone.memoize, plone.namedfile, plone.outputfilters, plone.patternslib, plone.portlet.collection, plone.portlet.static, plone.protect, plone.recipe.codeanalysis, plone.registry, plone.releaser, plone.resource, plone.rest, plone.restapi, plone.scale, plone.schemaeditor, plone.stringinterp, plone.testing, plone.tiles, plone.versioncheck, ploneconf2016.policy, plonedev.vagrant, ploneorg.core, ploneorg.theme, plonetheme.barceloneta, sphinxtheme.plone, training",2016-01-03,2016-12-18
syslab,682,291,3,"ale-rt, svx, thet",76,"Installers-UnifiedInstaller, Products.Archetypes, Products.CMFPlone, Products.LinguaPlone, Products.contentmigration, ansible.plone_server, archetypes.referencebrowserwidget, archetypes.schemaextender, bobtemplates.plone, buildout.coredev, documentation, five.intid, mockup, papyrus, plone.api, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.folder, plone.app.i18n, plone.app.imaging, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.versioningbehavior, plone.app.vocabularies, plone.app.widgets, plone.app.z3cform, plone.autoform, plone.batching, plone.behavior, plone.dexterity, plone.docker, plone.formwidget.multifile, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.indexer, plone.memoize, plone.namedfile, plone.outputfilters, plone.patternslib, plone.portlet.static, plone.recipe.zeoserver, plone.registry, plone.releaser, plone.resource, plone.rfc822, plone.scale, plone.schemaeditor, plone.supermodel, plone.testing, plone.tiles, plone.versioncheck, ploneorg.core, plonetheme.barceloneta, plonetheme.sunburst, sphinxtheme.plone, training",2016-01-03,2016-12-18
university-jyvaskylä,409,54,1,datakurre,25,"Products.CMFPlone, buildout.coredev, guillotina, mockup, plone.alterego, plone.app.blocks, plone.app.content, plone.app.controlpanel, plone.app.drafts, plone.app.mosaic, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.robotframework, plone.app.standardtiles, plone.app.theming, plone.app.tiles, plone.app.workflow, plone.jsonserializer, plone.recipe.codeanalysis, plone.synchronize, plone.testing, plone.tiles, plone.uuid, plonetheme.barceloneta",2016-01-10,2016-12-25
nuclia,390,35,2,"bloodbare, ebrehault",24,"Products.CMFPlone, buildout.coredev, documentation, guillotina, guillotina_elasticsearch, guillotina_gcloudstorage, guillotina_s3storage, mockup, plone.alterego, plone.api, plone.app.contenttypes, plone.app.mosaic, plone.app.testing, plone.app.theming, plone.app.users, plone.app.vocabularies, plone.docker, plone.jsonserializer, plone.registry, plone.resource, plone.resourceeditor, plone.restapi, plonetheme.barceloneta, training",2016-01-10,2016-12-18
esteele,357,0,1,esteele,55,"Plone, Products.ATContentTypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFPlone, Products.ExtendedPathIndex, Products.PlonePAS, Products.PortalTransforms, Products.contentmigration, buildout.coredev, five.intid, guillotina, mockup, plone.app.blob, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.controlpanel, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.relationfield, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.vocabularies, plone.app.widgets, plone.autoform, plone.dexterity, plone.formwidget.autocomplete, plone.jsonserializer, plone.outputfilters, plone.portlet.static, plone.recipe.zope2instance, plone.registry, plone.resourceeditor, plone.schemaeditor, plone.supermodel, plone.transformchain, plone.uuid, ploneorg.core, ploneorg.theme, plonetheme.barceloneta, plonetheme.sunburst",2016-01-03,2016-10-16
kitconcept,325,68,6,"davisagli, fredvd, jaroel, robgietema, sneridagh, tisto",46,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFEditions, Products.CMFFormController, Products.CMFPlone, Products.ExtendedPathIndex, Products.contentmigration, ansible-playbook, bobtemplates.plone, buildout.coredev, documentation, guillotina, jenkins.plone.org, mockup, plone.alterego, plone.api, plone.app.content, plone.app.contentmenu, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.imaging, plone.app.linkintegrity, plone.app.multilingual, plone.app.theming, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.z3cform, plone.batching, plone.behavior, plone.dexterity, plone.event, plone.formwidget.hcaptcha, plone.formwidget.recaptcha, plone.portlets, plone.protect, plone.recipe.codeanalysis, plone.rest, plone.restapi, plone.synchronize, ploneorg.core, ploneorg.theme, training, volto",2016-01-24,2016-12-25
vangheem,287,107,1,vangheem,31,"Products.CMFPlone, archetypes.referencebrowserwidget, buildout.coredev, documentation, guillotina, guillotina_dbusers, guillotina_elasticsearch, guillotina_mailer, mockup, planet.plone.org, plone.app.blocks, plone.app.content, plone.app.contenttypes, plone.app.drafts, plone.app.event, plone.app.linkintegrity, plone.app.mosaic, plone.app.querystring, plone.app.registry, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.vocabularies, plone.app.z3cform, plone.dexterity, plone.namedfile, plone.outputfilters, plone.restapi, plone.tiles, training",2016-01-03,2016-12-25
