username,years_active,total_commits,total_prs
07tAnYa,2024,1,1
1letter,"2023, 2024, 2025",264,60
1sh-repalto,2025,1,1
31z4,"2023, 2024",17,0
aadarsh-nagrath,2023,3,2
aadityaforwork,2024,2,2
Aarav238,2023,2,2
Abhishek-17h,"2024, 2025",19,23
aboycalledhero,2025,28,4
acsr,2025,22,13
AdamBrousseau,2025,1,0
AdarshRawat1,2023,1,1
Adityaadpandey,2024,4,1
adivinho,"2023, 2024",10,0
afr1ka,"2023, 2024",11,0
agan-k,2024,9,4
agitator,2023,2,2
Akshat2Jain,"2023, 2024",22,12
akshatgarg12,2023,6,6
alauto,2023,3,0
alcohol,"2023, 2024",17,0
ale-rt,"2023, 2024, 2025",176,51
alecpm,2023,1,1
alexandreIFB,2025,15,29
alexnuttinck,"2023, 2024",5,1
AlistairB,2023,2,0
alombarte,2025,1,0
amsteinb-orcl,"2023, 2024",46,0
ana-oprea,"2024, 2025",7,5
analogue,2023,3,0
andreiggr,2023,3,3
andrewlukoshko,2024,5,0
andyli,"2023, 2024",11,0
aniket7r,"2024, 2025",2,1
animus888,2024,2,2
anushka-codes1,2025,8,4
anwittin,2023,1,0
aormazabal,2023,8,2
archlinux-github,"2023, 2024",38,0
aryan7081,"2024, 2025",10,16
asbiin,"2023, 2024",4,0
athomas,"2023, 2024",11,0
avoinea,"2023, 2024, 2025",28,14
Azzam1503,2023,4,4
badrivlog,2023,1,1
BaurzhanSakhariev,"2023, 2024",4,0
benty-amzn,2023,2,0
BhardwajAditya-github,2023,2,2
BhuvaneshPatil,2023,2,2
bipoza,2023,4,2
BjoernLudwig,2024,10,0
BlackthornYugen,"2023, 2024",15,0
bloodbare,"2023, 2024, 2025",30,0
bnpfeife,"2023, 2024",29,0
boss6825,2025,7,3
bruth,"2023, 2024",30,0
bsuttor,2024,2,2
calinvladth,2025,2,6
calvn,2023,4,0
cap10morgan,"2023, 2024",23,0
carlossg,"2023, 2024",24,0
carminevassallo,"2023, 2024",7,0
ceejatec,"2023, 2024",5,0
cekk,"2023, 2024, 2025",23,20
cguardia,2023,2,2
chalstrick,"2023, 2024",7,0
chirayu-humar,2023,2,2
christian-heusel,"2023, 2024",6,0
cihanandac,2025,10,5
cillianderoiste,2023,5,2
cinthiaconti,2023,7,0
cjdcordeiro,"2023, 2024, 2025",6,0
claudiaifrim,"2023, 2024",24,5
claytonc,2023,2,2
cleder,2025,1,0
clrbuilder,"2023, 2024",74,0
codehashira99,2025,0,3
crpotter,2023,3,0
curiositycasualty,"2023, 2024",3,0
curiousyuvi,2023,19,6
cverna,"2023, 2024",16,0
d-fence,"2023, 2024",45,0
danalvrz,"2023, 2024, 2025",42,23
danielorbach,2023,1,0
dario-weswit,"2023, 2024",6,0
DarthGandalf,2024,4,0
dataflake,2025,5,2
datakurre,"2023, 2025",46,17
davisagli,"2023, 2024, 2025",1595,388
davividal,"2023, 2024, 2025",7,0
dbulashev,2024,1,0
deodorhunter,2025,0,4
deruosi,2023,16,1
devdanzin,2024,1,1
develop7,"2023, 2024",7,0
djay,"2023, 2024, 2025",10,5
dmaier-redislabs,2024,5,0
dobri1408,"2023, 2024, 2025",49,56
DougInAMug,2025,2,0
DQNEO,2023,1,0
dsmiley,2024,1,0
DumitruCorini,2023,1,0
dvdksn,2024,2,0
Earlopain,2024,1,0
ebrehault,"2023, 2024, 2025",9,11
eddelbuettel,"2023, 2024",7,0
eikichi18,2023,1,1
elasticmachine,2024,8,0
ericof,"2023, 2024, 2025",826,192
ericsporre,"2023, 2024",10,0
erikriver,2024,2,2
erral,"2023, 2024, 2025",572,165
EshaanAgg,"2023, 2024",2,2
esteele,2025,6,1
ewohnlich,"2023, 2024, 2025",30,10
Faakhir30,"2024, 2025",19,16
fabiorauber,"2023, 2024",13,2
falgunmpatel,2023,0,1
fauust,2023,4,0
felipementel,"2024, 2025",2,0
Felixoid,"2024, 2025",2,0
FHefterSRH,2024,1,0
folix-01,"2023, 2024",20,9
Fosten,"2023, 2024, 2025",10,4
francislavoie,"2023, 2024",8,0
frapell,"2023, 2024, 2025",31,15
fredvd,"2023, 2024, 2025",660,58
FritzHoing,2024,2,2
gamboz,2025,5,1
gdams,"2023, 2024",25,0
gerlowskija,2024,1,0
getong,"2023, 2024",54,0
gforcada,"2023, 2024, 2025",6426,678
ghnire,2024,9,3
ghorbani-ali,2024,2,0
gianniftp,2024,2,2
gil-cano,2025,3,3
giuliaghisini,"2023, 2024, 2025",84,48
glindroth,"2023, 2024",12,0
GlozingNeuter,2023,1,0
gogobd,"2023, 2024, 2025",39,10
Gomez,"2023, 2024",8,8
gotcha,"2023, 2024, 2025",13,4
gquintard,"2023, 2024",15,0
grooverdan,"2023, 2024",22,0
gszr,2023,3,0
gummybearansh,2025,0,1
gyst,"2024, 2025",9,4
hairyhenderson,2023,8,0
hanshuebner,"2023, 2024",2,0
hashworks,2023,1,0
headius,"2023, 2024",14,0
HeCorr,2024,1,0
hello-Rahul24,2025,1,1
hipertracker,2023,1,1
Hrittik20,"2023, 2024",5,8
ibennetch,2023,2,0
icemac,2025,4,1
ichim-david,"2023, 2024, 2025",60,83
id,"2023, 2024, 2025",38,0
iFlameing,"2023, 2024, 2025",56,65
instification,"2023, 2024",9,9
ionlizarazu,"2023, 2025",39,22
iRohitSingh,"2023, 2024, 2025",31,27
IshaanDasgupta,2023,2,2
itsjustkevin,"2023, 2024",27,0
J0WI,"2023, 2024",61,0
jackahl,"2023, 2024",42,11
jairhenrique,2023,1,1
janhoy,2024,1,0
janl,2023,2,0
JanWielemaker,"2023, 2024",22,0
jaroel,2023,56,12
jayasg12,"2023, 2024",13,0
jbleduigou,"2023, 2024, 2025",4,0
jbleduigou-aircall,2023,1,0
jCOTINEAU,2023,1,0
JeffersonBledsoe,"2023, 2024, 2025",28,23
jeffreyssmith2nd,2023,4,0
jenkins-plone-org,2023,18,0
jennyowen,"2023, 2024",6,0
jensens,"2023, 2024, 2025",1111,102
jhgouveia,2023,2,2
jhowell-burke,2023,2,0
jhrcek,"2023, 2024",9,0
jladage,2024,27,3
jnioche,2024,1,0
jnptk,"2023, 2024, 2025",246,19
JohnCMoon,2024,1,0
JohnONolan,2024,2,0
jstirnaman,"2023, 2024",2,0
juanluisbaptiste,2024,2,0
juanluisrp,"2023, 2024",13,0
Junko-Takeguchi,2023,2,2
justdaksh,2023,0,1
Kaku-g,2023,2,2
keeganwitt,"2023, 2024",48,0
kevinpollet,2024,7,0
kHAPPY2004,"2023, 2024",4,4
kikito,"2023, 2024",12,0
kittauri,2025,52,16
kozlovic,2023,4,0
kreafox,"2023, 2024, 2025",4,4
krissik,"2024, 2025",1,2
kshitiz305,2023,5,1
ksuess,"2023, 2024, 2025",355,129
KVS85,"2023, 2024",31,0
