repo,pr_number,title,author,created_at,merged_at,state,merged,issue_comments_count,review_comments_count,reviews_count,total_comments,participants_count,reviewers_count,commenters_count,approved_reviews,changes_requested_reviews,comment_reviews,reactions_total,first_response_time
plone/plone.schemaeditor,57,Fix getting vocabulary for multichoice fields,tomgross,2017-11-28T14:26:58Z,2017-11-29T21:59:43Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.schemaeditor,56,"Field reorderable, missing delete confirmation",thet,2017-08-27T21:21:55Z,2017-08-28T19:11:10Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,21.819166666666668
plone/plone.schemaeditor,54,fix schemaeditor fields editing UI,thet,2017-05-01T23:15:51Z,2017-05-09T13:41:34Z,closed,True,2,1,1,3,3,1,3,0,0,1,0,1001.7430555555555
plone/plone.schemaeditor,53,"Manage simple ""vocabularies"" in the values field",tomgross,2017-03-22T07:02:23Z,2017-05-11T09:18:07Z,closed,True,1,4,4,5,2,2,2,1,1,2,0,50.54527777777778
plone/plone.schemaeditor,50,use plone.testing testbrowser,davisagli,2017-02-11T20:10:33Z,2017-02-11T21:15:19Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.schemaeditor,47,Fix setting default values in schemaeditor,tomgross,2017-01-30T21:13:22Z,2017-02-06T23:04:16Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.schemaeditor,49,"fix parent lookup, test setup",davisagli,2017-02-01T15:24:43Z,2017-02-01T18:17:44Z,closed,True,0,2,2,2,2,2,2,0,0,2,0,4.463611111111111
plone/plone.schemaeditor,48,update testbrowser import,davisagli,2017-02-01T00:05:54Z,2017-02-01T08:45:36Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.schemaeditor,46,Fix URL for reordering fields,tomgross,2017-01-20T13:54:52Z,2017-01-26T13:57:36Z,closed,True,2,0,0,2,1,0,1,0,0,0,0,
plone/plone.app.standardtiles,82,Imports are Python3 compatible,b4oshany,2017-10-22T13:15:03Z,2017-10-22T13:25:35Z,closed,True,0,0,1,0,2,1,0,1,0,0,0,0.1725
plone/plone.app.standardtiles,69,Fix noembed endpoint url to get valid JSON response.,thomasmassmann,2017-06-07T17:34:56Z,2017-06-09T16:55:40Z,closed,True,5,0,0,5,3,0,3,0,0,0,0,0.22166666666666668
plone/plone.app.standardtiles,67,"Improve descriptions for usability, as described on https://github.co…",cguardia,2017-05-08T17:39:43Z,2017-05-08T17:52:47Z,closed,True,3,0,0,3,3,0,2,0,0,0,0,0.06027777777777778
plone/plone.app.standardtiles,72,Changed title of existing content tile from h1 to h2,agitator,2017-06-15T17:23:44Z,2017-06-16T09:40:22Z,closed,True,3,2,2,5,3,2,3,0,1,1,0,2.181388888888889
plone/plone.app.standardtiles,71,Fix issue where image field tile template registration for fieldset fields,datakurre,2017-06-13T08:37:39Z,2017-06-16T08:53:52Z,closed,True,2,0,0,2,2,0,1,0,0,0,0,0.24
plone/plone.app.standardtiles,68,Improve existing content with some additional fields,cekk,2017-05-19T14:56:37Z,2017-05-21T11:17:50Z,closed,True,4,0,0,4,3,0,3,0,0,0,0,0.24472222222222223
plone/plone.app.standardtiles,66,Don't let HTML tile fail on non ascii content,tomgross,2017-04-18T06:31:32Z,2017-04-19T07:57:37Z,closed,True,5,0,0,5,3,0,3,0,0,0,0,0.22305555555555556
plone/plone.app.standardtiles,64,Added title and description fields with option to show on tile,agitator,2017-02-20T18:05:04Z,2017-02-22T12:01:06Z,closed,True,9,4,4,13,4,2,4,0,0,4,0,0.04472222222222222
plone/plone.app.standardtiles,63,Add lead image tile; Fix discussion tile on ESI; Fix viewletmanagers on ESI,datakurre,2017-02-09T12:53:10Z,2017-02-09T17:52:31Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,0.04416666666666667
plone/plone.app.standardtiles,62,Fix issue where viewletmanagers were rendered in parent context,datakurre,2017-02-08T11:16:27Z,2017-02-08T11:17:01Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,0.04388888888888889
plone/plone.app.standardtiles,61,Fix import for _ in portlet add view in 1.x line.,MatthewWilkes,2017-02-04T12:42:05Z,2017-02-05T19:11:45Z,closed,True,2,0,0,2,2,0,2,0,0,0,0,30.495
plone/plone.app.standardtiles,60,Fix issue where tile rendering failed with failing view lookup,datakurre,2017-01-15T22:14:23Z,2017-01-15T22:14:29Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.app.caching,39,Purging all image scale paths and file paths in custom dexterity cont…,karalics,2017-10-17T22:49:30Z,2017-10-31T10:44:47Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,323.9186111111111
plone/plone.app.caching,36,Fixed blank edit forms of the per ruleset parameters.,mauritsvanrees,2017-04-05T21:07:17Z,2017-04-06T08:32:05Z,closed,True,1,0,0,1,1,0,1,0,0,0,0,
plone/plone.app.caching,35,Fix title/description of max age in strong caching rule for resources,mauritsvanrees,2017-03-31T14:52:07Z,2017-03-31T17:50:16Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.app.caching,34,Fix: Do not break Plone if there is no Archetypes available,jensens,2017-03-21T11:54:56Z,2017-03-22T06:56:24Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.app.caching,32,Remove dependency on unittest2,hvelarde,2017-01-12T16:18:34Z,2017-01-12T20:21:52Z,closed,True,0,0,1,0,2,1,0,1,0,0,0,4.051944444444445
plone/plone.app.caching,31,Fix tests with ZODB 4,davisagli,2017-01-08T06:16:01Z,2017-01-09T00:59:53Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.scale,28,"Handle alpha channels, which fixes a test failure introduced with Pillow 4.2.0",fschulze,2017-09-19T10:20:18Z,2017-09-19T16:13:38Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,5.862222222222222
plone/plone.scale,27,Restore scale down behaviour from 1.x series without the huge memory usage.,fschulze,2017-08-18T08:02:27Z,2017-09-19T10:02:36Z,closed,True,11,2,2,13,4,2,4,0,1,1,0,599.8044444444445
plone/plone.scale,25,python 3 compatibility,dhavlik,2017-05-04T12:39:50Z,,closed,False,1,0,0,1,2,0,1,0,0,0,0,1099.4541666666667
plone/plone.scale,22,Remove Persistence,gforcada,2016-11-27T23:57:01Z,2017-04-19T08:58:11Z,closed,True,4,0,0,4,3,0,3,0,0,0,1,13.514722222222222
plone/plone.scale,24,Only convert JPEG to greyscale if they actually are and not when the image has less than 256 colors.,fschulze,2017-03-15T14:58:27Z,2017-03-15T19:17:38Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.scale,13,Image mode optimization,ghost,2016-09-12T10:26:21Z,2016-09-12T17:15:37Z,closed,True,1,2,2,3,3,1,2,0,0,2,0,3.9411111111111112
plone/plone.scale,23,Preserve color profile in scaled images,fschulze,2017-02-28T14:25:53Z,2017-02-28T16:43:32Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.app.relationfield,19,Make doctests work with new testbrowser in Zope4,pbauer,2017-02-03T11:40:40Z,2017-10-21T11:16:06Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,0.18916666666666668
plone/plone.app.relationfield,20,remove unittest2 dependency,kakshay21,2017-05-31T22:14:19Z,2017-06-01T09:43:35Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.rest,65,Travis buildout fix,tisto,2017-05-14T13:53:05Z,2017-05-14T15:31:45Z,closed,True,0,1,1,1,2,1,1,0,0,1,0,4.979166666666667
plone/plone.rest,64,Do not render service in preflight requests when no CORS policy was d…,buchi,2017-05-14T10:41:12Z,2017-05-14T15:57:51Z,closed,True,1,0,1,1,2,1,1,1,0,0,0,4.889166666666667
plone/plone.namedfile,55,Remove mention of retina,tkimnguyen,2017-08-31T20:07:13Z,2017-10-10T13:09:19Z,closed,True,1,0,0,1,1,0,1,0,0,0,0,
plone/plone.namedfile,60,Imports are Python3 compatible,ale-rt,2017-10-21T09:37:22Z,2017-10-24T22:16:19Z,closed,True,2,0,2,2,3,1,2,1,1,0,1,53.61055555555556
plone/plone.namedfile,35,Add support for range requests on blob files,vangheem,2016-09-15T00:58:30Z,,closed,False,0,2,1,2,2,1,1,0,1,0,0,5362.695555555556
plone/plone.namedfile,34,Add support for range requests on blob files(3.0.x),vangheem,2016-09-15T00:58:11Z,,closed,False,0,0,1,0,2,1,0,0,1,0,0,5362.8163888888885
plone/plone.namedfile,57,Fixes #56,jensens,2017-09-08T15:46:46Z,2017-09-08T20:43:44Z,closed,True,1,0,0,1,2,0,1,0,0,0,0,4.948055555555555
plone/plone.namedfile,39,SVG support,tomgross,2016-12-23T14:00:56Z,2017-01-03T16:42:57Z,closed,True,3,0,0,3,3,0,3,0,0,0,1,0.8833333333333333
plone/plone.namedfile,54,different caching keys for different domains,mamico,2017-06-26T16:18:53Z,2017-06-27T12:03:18Z,closed,True,1,0,0,1,2,0,1,0,0,0,1,0.5469444444444445
plone/plone.namedfile,53,"Dont't break DefaultImageScalingFactory, if for any reason the fieldn…",thet,2017-06-12T16:48:11Z,2017-06-13T08:13:35Z,closed,True,2,9,7,11,2,2,2,1,1,5,0,2.6061111111111113
plone/plone.namedfile,51,Re added Compatibility for Plone 4,loechel,2017-05-29T14:57:02Z,2017-05-30T14:31:40Z,closed,True,2,5,3,7,3,2,3,1,2,0,0,18.795277777777777
plone/plone.namedfile,50,reduce logging level,jensens,2017-05-19T09:06:36Z,2017-05-19T12:13:30Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.namedfile,49,fix assertIsInstance not available in Python 2.6,thet,2017-04-26T10:41:13Z,2017-04-26T12:14:44Z,closed,True,1,0,1,1,2,1,1,1,0,0,1,0.6397222222222222
plone/plone.namedfile,48,apply @loechels comments for fix for #46,thet,2017-04-26T10:28:45Z,2017-04-26T11:19:55Z,closed,True,0,0,1,0,2,1,0,1,0,0,0,0.6402777777777777
plone/plone.namedfile,47,"Fix #46, when tiff_utils.process_tiff failed and a width referenced b…",thet,2017-04-25T22:56:07Z,2017-04-25T23:36:44Z,closed,True,1,6,4,7,2,2,2,0,0,4,0,10.891666666666667
plone/plone.namedfile,45,Issue 38 master,thet,2017-04-25T22:32:48Z,2017-04-25T23:30:50Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.namedfile,41,Issue 38 - Scales create NamedBlobImage with wrong contentType field,rodfersou,2017-01-03T13:45:13Z,2017-04-25T22:24:49Z,closed,True,8,1,1,9,3,1,3,0,0,1,0,0.33916666666666667
plone/plone.namedfile,44,fix Bug #2008.,loechel,2017-04-14T15:22:13Z,2017-04-14T20:42:45Z,closed,True,1,0,1,1,2,1,1,1,0,0,0,0.6841666666666667
plone/plone.namedfile,25,Plip 1483 retina image scales,ghost,2016-05-31T10:18:42Z,2017-03-21T21:16:03Z,closed,True,0,4,3,4,3,2,2,0,0,3,0,2786.5844444444447
plone/plone.namedfile,43,update test that (ab)uses testbrowser to make a HEAD request,jensens,2017-02-04T14:29:58Z,,closed,False,1,0,0,1,1,0,1,0,0,0,0,
plone/plone.namedfile,42,Drop removed __of__ from BrowserViews,pbauer,2017-01-31T15:30:04Z,2017-01-31T17:43:30Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.namedfile,21,feat: add SVG support,Gagaro,2016-03-21T16:03:34Z,,closed,False,3,0,0,3,3,0,3,0,0,0,0,6646.394444444444
plone/plone.namedfile,40,Issue 38 - Scales create NamedBlobImage with wrong contentType field,rodfersou,2017-01-03T13:25:39Z,,closed,False,0,0,0,0,1,0,0,0,0,0,0,
plone/plone.app.iterate,53, Revert changing checkout_workflow_policy to ASCIILine,thet,2017-09-05T20:38:54Z,,closed,False,3,1,2,4,2,1,1,1,0,1,0,9.815555555555555
plone/plone.app.iterate,55,Fixes 54: Cancelling a check out from the original deletes the original.,jensens,2017-11-16T09:28:30Z,2017-11-16T10:59:09Z,closed,True,1,0,0,1,1,0,1,0,0,0,0,
plone/plone.app.iterate,52,Don't depend on AT (part 3),tomgross,2017-08-28T20:25:35Z,2017-09-07T06:47:01Z,closed,True,2,0,0,2,2,0,2,0,0,0,0,62.618611111111115
plone/plone.app.iterate,47,Revert changing checkout_workflow_policy to ASCIILine,pbauer,2017-06-22T09:25:38Z,,closed,False,2,0,0,2,2,0,1,0,0,0,0,1809.9252777777779
plone/plone.app.iterate,49,Remove AT as hard dependency and ZODB3 version pin,tomgross,2017-07-31T20:39:27Z,2017-08-01T09:11:17Z,closed,True,0,0,0,0,1,0,0,0,0,0,0,
