organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
PY76,1591,181,1,mauritsvanrees,131,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.Marshall, Products.MimetypesRegistry, Products.PloneLanguageTool, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, Products.isurlinportal, Products.statusmessages, Products.validation, archetypes.schemaextender, borg.localrole, buildout.coredev, collective.monkeypatcher, diazo, five.intid, mockup, plone.alterego, plone.api, plone.app.blob, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.folder, plone.app.form, plone.app.i18n, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.contentrules, plone.dexterity, plone.event, plone.folder, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.alltests, plone.recipe.precompiler, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.synchronize, plone.testing, plone.theme, plone.tiles, plone.transformchain, plone.uuid, plone.z3cform, plonetheme.barceloneta, plonetheme.classic, plonetheme.sunburst, zodbverify",2020-01-05,2020-12-06
kitconcept GmbH,1389,343,9,"ericof, fredvd, iFlameing, jackahl, jaroel, robgietema, sneridagh, steffenri, tisto",22,"Products.CMFPlone, buildout.coredev, jenkins.plone.org, mockup, plone.app.caching, plone.app.contenttypes, plone.app.dexterity, plone.app.versioningbehavior, plone.dexterity, plone.namedfile, plone.recipe.codeanalysis, plone.rest, plone.restapi, plone.staticresources, plone.supermodel, plone.volto, plonetheme.barceloneta, training, volto, volto-addon-ci, volto-quanta, volto-quanta-project",2020-01-05,2020-12-27
Independent,446,276,62,"AlexBueckig, Gagaro, LeuAlmeida, LuisPalomo, Qiwn, aashimgarg, ableeb, acatlla, achimwilde, acsr, alecghica, allusa, andreasma, andreesg, arsenico13, aryamanpuri, balavec, barcafa, batlock666, busykoala, csenger, damiDev8, dataflake, dgsmith2, dmanchon, ewohnlich, fazalsulaiman, gitcarbs, idgserpro, j-craig, janjaapdriessen, jeffheinrichs, jlp0328, jordic, jugmac00, julienCarret, lferran, mikejmets, niglesiaszingoni, nilshofer, pabo3000, parruc, petri, pfreixes, pigeonflight, psanlorenzo, raulclay, razvanMiu, rexalex, robdayz, rodfersou, santonelli, silviubogan, staeff, sumukhah, techdev5521, tobiasherp, tschorr, vangheem, waghanza, woolyseal, zotya",38,"Installers-UnifiedInstaller, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.isurlinportal, bobtemplates.plone, buildout.coredev, documentation, guillotina, guillotina_elasticsearch, guillotina_gcloudstorage, guillotina_prometheus, guillotina_s3storage, mockup, pastanaga-angular, plone.app.content, plone.app.discussion, plone.app.layout, plone.app.mosaic, plone.app.theming, plone.app.uuid, plone.app.z3cform, plone.com-static, plone.contentrules, plone.docker, plone.namedfile, plone.recipe.codeanalysis, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.rest, plone.restapi, plone.restapi-angular, plone.staticresources, plone.testing, plone.volto, plonetheme.barceloneta, volto, zodbverify",2020-01-05,2020-12-13
Nuclia,268,179,3,"bloodbare, ebrehault, mpellerin42",4,"guillotina, guillotina-volto, pastanaga-angular, volto",2020-01-05,2020-12-20
Klein & Partner KG,232,52,1,jensens,41,"Installers-UnifiedInstaller, Plone, Products.ATContentTypes, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.ResourceRegistries, Products.validation, buildout.coredev, five.intid, mockup, mr.roboto, plone.app.blob, plone.app.caching, plone.app.layout, plone.app.ldap, plone.app.multilingual, plone.app.multilingualindexes, plone.app.registry, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.vocabularies, plone.autoform, plone.dexterity, plone.folder, plone.formwidget.hcaptcha, plone.formwidget.recaptcha, plone.patternslib, plone.recipe.zope2instance, plone.rest, plone.restapi, plone.scale, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.supermodel, plone.testing, plonetheme.barceloneta",2020-01-19,2020-12-20
Eau de Web,227,121,5,"Petchesi-Iulian, avoinea, ichim-david, nileshgulia1, tiberiuichim",10,"plone.app.contenttypes, plone.app.dexterity, plone.app.relationfield, plone.dexterity, plone.restapi, plone.schema, plone.schemaeditor, training, volto, volto-addon-ci",2020-01-12,2020-12-20
Syslab,213,101,4,"ale-rt, reinhardt, svx, thet",39,"Products.CMFPlone, bobtemplates.plone, buildout.coredev, documentation, guillotina, mockup, planet.plone.org, plone.api, plone.app.content, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.layout, plone.app.redirector, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.versioningbehavior, plone.app.widgets, plone.app.workflowmanager, plone.autoform, plone.dexterity, plone.docker, plone.formwidget.hcaptcha, plone.formwidget.recaptcha, plone.jsonserializer, plone.memoize, plone.patternslib, plone.protect, plone.recipe.zope2instance, plone.restapi, plone.scale, plone.staticresources, plone.supermodel, plone.z3cform, plonecli, plonetheme.barceloneta, training",2020-01-05,2020-12-13
Derico,173,19,1,MrTango,10,"Products.CMFPlone, ansible.plone_server, bobtemplates.plone, mockup, plone.app.layout, plone.app.theming, plone.app.upgrade, plone.gallery, plonecli, plonetheme.barceloneta",2020-02-09,2020-12-06
Starzel,157,33,2,"Gomez, pbauer",20,"Products.ATContentTypes, Products.CMFPlone, Products.LinguaPlone, buildout.coredev, mockup, plone.app.caching, plone.app.content, plone.app.contenttypes, plone.app.dexterity, plone.app.mosaic, plone.app.multilingual, plone.app.upgrade, plone.app.users, plone.app.z3cform, plone.com-static, plone.staticresources, plonetheme.barceloneta, training, volto, zodbverify",2020-02-09,2020-12-06
Rohberg,153,13,1,ksuess,7,"plone.app.caching, plone.app.contentmenu, plone.app.discussion, plone.app.upgrade, plone.restapi, training, volto",2020-01-05,2020-12-20
