username,total_commits,total_pull_requests,repositories_count,repositories,first_contribution,last_contribution
mauritsvanrees,1140,135,82,"Installers-UnifiedInstaller, Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.PloneHotfix20210518, Products.PlonePAS, Products.PortalTransforms, Products.contentmigration, Products.isurlinportal, archetypes.multilingual, archetypes.schemaextender, bobtemplates.plone, buildout.coredev, diazo, documentation, meta, mockup, mr.roboto, plone.api, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoinclude, plone.cachepurging, plone.contentrules, plone.dexterity, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.memoize, plone.namedfile, plone.recipe.zope2instance, plone.releaser, plone.reload, plone.rest, plone.restapi, plone.schemaeditor, plone.staticresources, plone.supermodel, plone.testing, plone.tiles, plone.volto, plonetheme.barceloneta, training",2021-01-03,2021-12-26
sneridagh,1075,223,26,"2023.ploneconf.org, Products.CMFPlone, buildout.coredev, critical-css-cli, demo.plone.org, plone-backend, plone.app.caching, plone.app.event, plone.app.iterate, plone.app.querystring, plone.app.registry, plone.app.theming, plone.app.users, plone.app.widgets, plone.app.workflow, plone.nl, plone.recipe.zope2instance, plone.registry, plone.restapi, plone.schema, plone.volto, ploneconf.org, volto, volto-addon-ci, volto-quanta, volto-quanta-project",2021-01-03,2021-12-26
tisto,514,55,13,".github, buildout.coredev, plone.app.caching, plone.app.dexterity, plone.app.iterate, plone.formwidget.hcaptcha, plone.locking, plone.registry, plone.rest, plone.restapi, plone.schema, plone.volto, volto",2021-01-03,2021-12-26
thet,481,47,23,"Products.CMFPlone, bobtemplates.plone, buildout.coredev, documentation, mockup, pat-content-browser, plone.api, plone.app.blocks, plone.app.content, plone.app.contentmenu, plone.app.dexterity, plone.app.event, plone.app.layout, plone.app.mosaic, plone.app.theming, plone.app.widgets, plone.app.z3cform, plone.reload, plone.schemaeditor, plone.staticresources, plone.tiles, plonetheme.barceloneta, volto",2021-01-03,2021-12-19
jensens,473,56,42,"Installers-UnifiedInstaller, Products.CMFPlone, Products.PlonePAS, ansible-playbook, buildout.coredev, documentation, mockup, old_plone.org, plone-frontend, plone.alterego, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentmenu, plone.app.dexterity, plone.app.discussion, plone.app.layout, plone.app.mosaic, plone.app.multilingualindexes, plone.app.portlets, plone.app.registry, plone.app.standardtiles, plone.app.upgrade, plone.app.users, plone.app.z3cform, plone.cachepurging, plone.dexterity, plone.formwidget.hcaptcha, plone.formwidget.namedfile, plone.formwidget.recaptcha, plone.i18n, plone.recipe.unifiedinstaller, plone.recipe.zope2instance, plone.registry, plone.rest, plone.restapi, plone.staticresources, plonecli, ploneorg.core, plonetheme.barceloneta, training, waitress_fastlisten",2021-01-17,2021-12-26
ericof,308,61,30,"2023.ploneconf.org, Products.CMFPlone, admin-team, blocks-conversion-tool, buildout.coredev, form-block, old_plone.org, plone-backend, plone-frontend, plone-zeo, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.iterate, plone.app.layout, plone.app.multilingual, plone.app.portlets, plone.locking, plone.nl, plone.restapi, plone.volto, ploneconf.org, ploneorg.theme, setup-plone, training, volto",2021-02-07,2021-12-19
agitator,278,66,33,"Products.CMFEditions, Products.CMFPlone, bobtemplates.plone, buildout.coredev, mockup, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.robotframework, plone.app.standardtiles, plone.app.theming, plone.app.users, plone.app.workflow, plone.app.z3cform, plone.batching, plone.portlet.collection, plone.portlet.static, plone.rest, plone.staticresources, plone.z3cform, plonetheme.barceloneta, training",2021-01-10,2021-12-26
MrTango,243,25,16,"Products.CMFPlone, bobtemplates.plone, buildout.coredev, mockup, pat-content-browser, plone-vs-snippets, plone.app.contentrules, plone.app.layout, plone.app.portlets, plone.app.registry, plone.app.theming, plone.gallery, plone.pdfexport, plonecli, plonetheme.barceloneta, training",2021-01-24,2021-12-26
ksuess,212,52,6,"guillotina, plone.app.blocks, plone.app.standardtiles, plone.restapi, training, volto",2021-01-31,2021-12-19
stevepiercy,196,14,3,"demo.plone.org, training, volto",2021-04-11,2021-12-26
