github_username,pull_requests,commits
sneridagh,362,300
stevepiercy,58,52
Tishasoumya-02,46,29
davisagli,40,37
ksuess,17,16
iFlameing,14,13
erral,11,10
dobri1408,11,11
tiberiuichim,10,9
pnicolli,9,8
robgietema,8,6
wesleybl,7,4
iRohitSingh,6,5
danalvrz,6,5
giuliaghisini,5,3
nileshgulia1,5,4
ichim-david,5,4
tedw87,5,4
reebalazs,4,4
razvanMiu,4,3
macagua,3,3
mamico,3,4
pbauer,3,3
suman9893,3,3
akshatgarg12,3,3
ericof,2,3
cekk,2,2
JeffersonBledsoe,2,2
ionlizarazu,2,3
Wagner3UB,2,2
MAX-786,2,2
instification,2,2
SaiRev0,2,2
sudhanshu1309,2,2
ujjwaleee26,2,2
lord2anil,2,2
MihaelaCretu11,2,2
tisto,1,1
nzambello,1,1
avoinea,1,1
jackahl,1,1
fredvd,1,2
steffenri,1,0
kreafox,1,1
jaroel,1,1
sabrina-bongiovanni,1,1
Gomez,1,1
pgrunewald,1,1
SaraBianchi,1,2
rboixaderg,1,1
Hrittik20,1,0
andreiggr,1,1
Molochem,1,1
Ravi-kumar9347,1,1
mikejmets,1,1
kHAPPY2004,1,0
Shibbu264,1,1
Noobham,1,1
lorstenoplo,1,0
yahya-cloud,1,1
mehedikhan72,1,1
claytonc,1,1
satyam4p,1,1
nilootpal,1,1
chirayu-humar,1,1
ZubairImtiaz3,1,1
curiousyuvi,1,1
utkkkarshhh,1,1
tschorr,1,1
claudiaifrim,1,1
cguardia,1,1
BhuvaneshPatil,1,1
Junko-Takeguchi,1,1
Akshat2Jain,1,1
BhardwajAditya-github,1,1
Aarav238,1,1
Manice18,1,1
libargutxi,1,1
luxcas,1,1
jhgouveia,1,1
Kaku-g,1,1
IshaanDasgupta,1,1
EshaanAgg,1,0
bipoza,0,2
