Contributor,Tier,Total Points,PR Level,PR Points,Avg PRs/Year,PLIP Level,PLIP Points,Closed PLIPs
mauritsvanrees,Platinum,35,Lead Author,20,178.2,Lead Architect,15,12
sneridagh,Platinum,35,Lead Author,20,303.8,Lead Architect,15,20
gforcada,Platinum,29,Lead Author,20,140.2,Core Architect,9,6
petschki,Gold,20,Lead Author,20,130.6,,0,1
stevepiercy,Gold,20,Lead Author,20,168.4,,0,0
thet,Gold,19,Active Author,4,45.8,Lead Architect,15,17
tisto,Gold,19,Active Author,4,22.6,Lead Architect,15,49
bloodbare,Gold,15,,0,6.6,Lead Architect,15,20
ebrehault,Gold,15,,0,7.8,Lead Architect,15,17
jensens,Gold,13,Active Author,4,47.8,Core Architect,9,9
davisagli,Silver,10,Core Author,10,75.6,,0,1
ericof,Silver,10,Core Author,10,57.4,,0,1
tkimnguyen,Silver,9,,0,4.6,Core Architect,9,9
vangheem,Silver,9,,0,1.6,Core Architect,9,6
MrTango,Silver,7,Active Author,4,23.0,Architect,3,2
agitator,Silver,7,Active Author,4,23.8,Architect,3,3
pbauer,Silver,7,Active Author,4,27.6,Architect,3,4
tiberiuichim,Silver,7,Active Author,4,27.6,Architect,3,2
robgietema,Bronze,5,Author,2,10.8,Architect,3,3
ale-rt,Bronze,4,Active Author,4,24.2,,0,1
erral,Bronze,4,Active Author,4,48.2,,0,1
giuliaghisini,Bronze,4,Active Author,4,20.0,,0,1
ksuess,Bronze,4,Active Author,4,46.0,,0,0
mpellerin42,Bronze,4,Active Author,4,44.2,,0,0
wesleybl,Bronze,4,Active Author,4,47.2,,0,0
datakurre,Bronze,3,,0,4.6,Architect,3,2
djay,Bronze,3,,0,1.2,Architect,3,5
hvelarde,Bronze,3,,0,0.0,Architect,3,4
iham,Bronze,3,,0,0.8,Architect,3,5
jcerjak,Bronze,3,,0,0.0,Architect,3,5
khink,Bronze,3,,0,0.0,Architect,3,2
loechel,Bronze,3,,0,1.2,Architect,3,4
pigeonflight,Bronze,3,,0,0.2,Architect,3,4
rodfersou,Bronze,3,,0,0.0,Architect,3,2
zopyx,Bronze,3,,0,0.8,Architect,3,3
1letter,Bronze,2,Author,2,16.4,,0,0
Tishasoumya-02,Bronze,2,Author,2,12.6,,0,0
avoinea,Bronze,2,Author,2,12.2,,0,1
fredvd,Bronze,2,Author,2,14.0,,0,1
iFlameing,Bronze,2,Author,2,15.0,,0,0
ichim-david,Bronze,2,Author,2,10.6,,0,0
mamico,Bronze,2,Author,2,10.0,,0,0
nileshgulia1,Bronze,2,Author,2,10.4,,0,1
pnicolli,Bronze,2,Author,2,17.8,,0,1
