Organisation,Tier,Total Points,PR Level,PR Points,Avg PRs/Year,PLIP Level,PLIP Points,Closed PLIPs
Independent,Platinum,35,Lead Author,20,148.4,Lead Architect,15,25
Kombinat,Gold,20,Lead Author,20,130.6,,0,0
PY76,Gold,20,Lead Author,20,178.2,,0,0
Steve Piercy - Website Builder,Gold,20,Lead Author,20,168.4,,0,0
der Freitag,Gold,20,Lead Author,20,140.2,,0,0
kitconcept GmbH,Gold,20,Lead Author,20,544.4,,0,0
kitconcept,Gold,15,,0,0.0,Lead Architect,15,71
nuclia,Gold,15,,0,0.0,Lead Architect,15,37
py76,Gold,15,,0,0.0,Lead Architect,15,10
syslab,Gold,15,,0,0.0,Lead Architect,15,16
Codesyntax,Silver,10,Core Author,10,57.2,,0,0
Eau de Web,Silver,10,Core Author,10,70.0,,0,0
Nuclia,Silver,10,Core Author,10,58.6,,0,0
RedTurtle,Silver,10,Core Author,10,75.0,,0,0
Syslab,Silver,10,Core Author,10,73.8,,0,0
freitag,Silver,9,,0,0.0,Core Architect,9,6
kleinundpartner,Silver,9,,0,0.0,Core Architect,9,9
vangheem,Silver,9,,0,0.0,Core Architect,9,6
Agitator,Bronze,4,Active Author,4,23.8,,0,0
Derico,Bronze,4,Active Author,4,23.0,,0,0
Klein & Partner KG,Bronze,4,Active Author,4,47.8,,0,0
Rohberg,Bronze,4,Active Author,4,46.0,,0,0
Serpro,Bronze,4,Active Author,4,47.2,,0,0
Starzel,Bronze,4,Active Author,4,29.0,,0,0
agitator,Bronze,3,,0,0.0,Architect,3,3
dbain,Bronze,3,,0,0.0,Architect,3,2
derico,Bronze,3,,0,0.0,Architect,3,2
eau-de-web,Bronze,3,,0,0.0,Architect,3,4
iham,Bronze,3,,0,0.0,Architect,3,5
redturtle,Bronze,3,,0,0.0,Architect,3,2
starzel,Bronze,3,,0,0.0,Architect,3,4
tkimnguyen,Bronze,3,,0,0.0,Architect,3,5
zopyx,Bronze,3,,0,0.0,Architect,3,3
Iskra,Bronze,2,Author,2,18.2,,0,0
Uni. Hospital Dresden,Bronze,2,Author,2,16.4,,0,0
