Title,Trainer(s),GitHub Handle(s),Organisation
Django Girls Cerrado,Talita Rossari,,Independent
Criando Automação RPA com Frameworks Open Source e Python,Morganna Giovanelli,,Independent
Python: RAGnarok! Criando um FAQ usando LLMs open-source,Leon Sólon da Silva,,Independent
Installing and deploying Plone,Érico Andrei,,kitconcept GmbH
O lis.py de Norvig: entenda um interpretador completo,Luciano Ramalho,,Thoughtworks
Programação criativa com Python: primeiros passos com py5,Alexandre B A Villares,,Independent
Plone 6 Volto Customization for JavaScript Beginners,Nilesh Gulia; Alok Kumar,,Eau de Web; kitconcept GmbH
Plone training for content editors - new and experienced,Paul Roeland; T. Kim Nguyen,,CCC; Six Feet Up
"Evoluindo o sistema: testes, logs e automações do ambiente",Renan de Assis; Ana Dulce,,Independent
Training: Customizing the Volto Light Theme,Dante Alvarez; Rohit Kumar,,kitconcept GmbH
Introdução a FastAPI,Renan de Assis; Ana Dulce,,Independent
Experimentos de Iot e Robótica com Python,Andre da Silva Mesquita,,Independent
