Video Title,Speaker(s),Organisation,Event / Location,Type,YouTube ID
The Plone Foundation,Érico Andrei,kitconcept GmbH,Online,Talk,izBunpM6C1o
What is World Plone Day?,Rikupekka Oksanen,University of Jyväskylä,Online,Talk,Yk7tx2zgL98
Plone Podcast - Paul Everitt Interview,Kim Nguyen,Six Feet Up,Online,Talk,sWZnSLIIwCA
The Plone Newsroom Ausgabe #21D,Philip Bauer; Fred van Dijk,Starzel; kitconcept GmbH,Online,Talk,IfoxlWFlk3k
The Anatomy of a Block,Dante Alvarez,kitconcept GmbH,Online,Talk,Di3bh_1LZnQ
Documentation Tools You Can Use in Your Project,Steve Piercy,Steve Piercy - Website Builder,Online,Talk,VUym125oQlo
Testing your Plone codebase with pytest,Katja Süss,Rohberg,Online,Talk,KAaZI08p7gs
The power of Plone distributions,Philip Bauer,Starzel,Online,Talk,5pjgpAzjyjo
Upgrading frontend addons from Volto 16 to Volto 17,Victor Fernandez de Alba,kitconcept GmbH,Online,Talk,OfkhwHF0q_0
Volto Table of Contents - make a new variation,Teodor Voicu,Eau de Web,Online,Talk,DkyhRkpll4E
Customizing Volto Components,Nilesh Gulia,Eau de Web,Online,Talk,jxigJ0wKv1Q
Enhancing HTML Comparison in Volto's History Feature,Tiberiu Ichim,Eau de Web,Online,Talk,BMN9ySArktc
Plone Multilingual - How Cool Is That!,Peter Mathis,Kombinat,Online,Talk,4XXjZ91uwYs
Plone 6 -pohjainen kotisivukone,Asko Soukka,University of Jyväskylä,Online,Talk,Imq1zfFZ52o
WPD 2024 - Google Summer of Code 2024 and Plone,Eric Bréhault,Nuclia,Online,Talk,sDWGwFLQfD8
SEO with Plone,Franco Pellegrini,Nuclia,Online,Talk,kpkJ67ZmzuQ
Accessibility and Plone,Oshane Bailey,Independent,Online,Talk,UQjnQe-7OpY
"World Plone Day: Brasília, Brazil",PloneGov-BR team,PloneGov-BR,Online,Talk,Ml3p-L6wnQI
Building Plone’s Headless CMS Story,Victor Fernandez de Alba,kitconcept GmbH,Online,Talk,P7MQQSqLmds
