Organisation,Recognition Level,Strategic Sprint,Release Manager,Team Leader,Board Member,Podcast Host,WPD Event,WPD Talk,Conference Organization,Training Session,Total Points
kitconcept GmbH,Diamond Contributor,12.0,24.0,0,0,0,0,4.0,0,21.0,61.0
University of Jyväskylä,Platinum Contributor,0,0,0,0,0,0,3.0,24.0,6.0,33.0
RedTurtle,Platinum Contributor,12.0,0,6.0,0,0,3.0,2.0,0,3.0,26.0
Juizi,Gold Contributor,0,0,6.0,0,0,0,4.0,0,9.0,19.0
PY76,Gold Contributor,0,12.0,6.0,0,0,0,0,0,0,18.0
Eau de Web,Gold Contributor,12.0,0,0,0,0,0,3.0,0,0,15.0
Klein & Partner KG,Gold Contributor,12.0,0,0,0,0,0,1.0,0,0,13.0
UNAM,Gold Contributor,12.0,0,0,0,0,0,0,0,0,12.0
Interlegis Program (Federal Senate),Silver Contributor,0,0,0,6.0,0,3.0,2.0,0,0,11.0
CodeSyntax,Silver Contributor,0,0,0,6.0,0,0,2.0,0,0,8.0
Independent,Silver Contributor,0,0,0,6.0,0,0,1.0,0,0,7.0
Nuclia,Silver Contributor,0,0,0,6.0,0,0,1.0,0,0,7.0
Steve Piercy - Website Builder,Silver Contributor,0,0,0,6.0,0,0,1.0,0,0,7.0
Affinitic,Silver Contributor,0,0,0,6.0,0,0,0,0,0,6.0
Brazilian Government,Silver Contributor,0,0,6.0,0,0,0,0,0,0,6.0
Cosent,Silver Contributor,0,0,0,6.0,0,0,0,0,0,6.0
Federal Senate (Interlegis Program),Silver Contributor,0,0,0,6.0,0,0,0,0,0,6.0
KU Leuven,Silver Contributor,0,0,0,0,0,0,0,0,6.0,6.0
Kombinat,Silver Contributor,0,0,6.0,0,0,0,0,0,0,6.0
Simples Consultoria,Silver Contributor,0,0,0,0,0,3.0,3.0,0,0,6.0
Starzel,Silver Contributor,0,0,0,0,0,0,0,0,6.0,6.0
CCC,Bronze Contributor,0,0,0,0,0,0,0,0,3.0,3.0
Plone Foundation,Bronze Contributor,0,0,0,0,0,0,3.0,0,0,3.0
PloneGov-BR,Bronze Contributor,0,0,0,0,0,0,2.0,0,0,2.0
AUSL Romagna,Bronze Contributor,0,0,0,0,0,0,1.0,0,0,1.0
BOSS,Bronze Contributor,0,0,0,0,0,0,1.0,0,0,1.0
CMS Communications Inc.,Bronze Contributor,0,0,0,0,0,0,1.0,0,0,1.0
Er.GO,Bronze Contributor,0,0,0,0,0,0,1.0,0,0,1.0
Giallocobalto,Bronze Contributor,0,0,0,0,0,0,1.0,0,0,1.0
IRR,Bronze Contributor,0,0,0,0,0,0,1.0,0,0,1.0
LMU,Bronze Contributor,0,0,0,0,0,0,1.0,0,0,1.0
Plone Foundation (community volunteer),Bronze Contributor,0,0,0,0,0,0,1.0,0,0,1.0
Quaive,Bronze Contributor,0,0,0,0,0,0,1.0,0,0,1.0
RIOS (Rete Italiana Open Source),Bronze Contributor,0,0,0,0,0,0,1.0,0,0,1.0
Regione Emilia-Romagna,Bronze Contributor,0,0,0,0,0,0,1.0,0,0,1.0
Senado Federal,Bronze Contributor,0,0,0,0,0,0,1.0,0,0,1.0
Università di Macerata,Bronze Contributor,0,0,0,0,0,0,1.0,0,0,1.0
eCityclic,Bronze Contributor,0,0,0,0,0,0,1.0,0,0,1.0
iMio,Bronze Contributor,0,0,0,0,0,0,1.0,0,0,1.0
