organisation,total_plips,open_plips,closed_plips,contributors_count,contributors,repositories_count,repositories,first_plip,last_plip
kitconcept,102,31,71,8,"davisagli, ericof, fredvd, jaroel, jnptk, robgietema, sneridagh, tisto",3,"plone/Products.CMFPlone, plone/plone.restapi, plone/volto",2013-11-07,2025-07-22
nuclia,37,0,37,2,"bloodbare, ebrehault",1,plone/Products.CMFPlone,2014-02-10,2016-07-13
Independent,34,9,25,18,"Rudd-O, SaraBianchi, Shriyanshagro, b4oshany, fgrcon, fulv, ghost, hvelarde, jcerjak, khink, leandromontenegromachado, loechel, mtrebron, rber474, rioksane, rodfersou, santonelli, staeff",3,"plone/Products.CMFPlone, plone/plone.restapi, plone/volto",2014-11-02,2024-12-27
syslab,20,4,16,3,"ale-rt, svx, thet",1,plone/Products.CMFPlone,2014-02-10,2025-02-13
py76,16,6,10,1,mauritsvanrees,1,plone/Products.CMFPlone,2013-11-13,2025-03-12
kleinundpartner,11,2,9,1,jensens,1,plone/Products.CMFPlone,2015-05-13,2025-02-19
tkimnguyen,11,6,5,1,tkimnguyen,1,plone/Products.CMFPlone,2015-06-16,2019-12-05
pretaweb,8,7,1,2,"JeffersonBledsoe, djay",2,"plone/Products.CMFPlone, plone/volto",2015-04-29,2025-01-08
vangheem,7,1,6,1,vangheem,1,plone/Products.CMFPlone,2016-03-24,2016-04-14
eau-de-web,6,2,4,3,"avoinea, nileshgulia1, tiberiuichim",1,plone/volto,2020-03-19,2023-01-22
freitag,6,0,6,1,gforcada,1,plone/Products.CMFPlone,2015-10-16,2019-02-17
iham,6,1,5,1,iham,1,plone/Products.CMFPlone,2017-04-12,2021-08-16
dbain,4,2,2,1,pigeonflight,1,plone/Products.CMFPlone,2016-02-28,2021-09-20
redturtle,4,2,2,3,"Wagner3UB, giuliaghisini, pnicolli",1,plone/volto,2020-01-07,2024-11-30
starzel,4,0,4,1,pbauer,2,"plone/Products.CMFPlone, plone/volto",2018-03-30,2024-05-16
stevepiercy,3,3,0,1,stevepiercy,1,plone/Products.CMFPlone,2024-01-16,2025-02-03
zopyx,3,0,3,1,zopyx,2,"plone/Products.CMFPlone, plone/plone.restapi",2016-09-02,2019-03-03
agitator,3,0,3,1,agitator,1,plone/Products.CMFPlone,2018-09-14,2020-03-02
kombinat,3,2,1,1,petschki,1,plone/Products.CMFPlone,2023-04-17,2025-03-21
derico,3,1,2,1,MrTango,2,"plone/Products.CMFPlone, plone/plone.restapi",2016-01-27,2025-02-14
university-jyvaskylä,2,2,0,1,datakurre,1,plone/Products.CMFPlone,2017-01-27,2020-04-23
academy-of-fine-arts-vienna,1,1,0,1,gogobd,1,plone/Products.CMFPlone,2016-10-21,2016-10-21
codesyntax,1,1,0,1,erral,1,plone/volto,2023-12-07,2023-12-07
esteele,1,0,1,1,esteele,1,plone/Products.CMFPlone,2017-07-05,2017-07-05
imio,1,1,0,1,bsuttor,1,plone/Products.CMFPlone,2025-01-09,2025-01-09
it-spirit,1,1,0,1,thomasmassmann,1,plone/Products.CMFPlone,2021-12-19,2021-12-19
polyester,1,0,1,1,polyester,1,plone/Products.CMFPlone,2014-02-12,2014-02-12
rohnsha0,1,1,0,1,rohnsha0,1,plone/Products.CMFPlone,2025-05-30,2025-05-30
tomgross,1,0,1,1,tomgross,1,plone/Products.CMFPlone,2016-03-06,2016-03-06
university-tu-dresden,1,1,0,1,pgrunewald,1,plone/Products.CMFPlone,2025-02-14,2025-02-14
zest,1,0,1,1,jladage,1,plone/Products.CMFPlone,2024-03-26,2024-03-26
