number,title,author,state,created_at,updated_at,closed_at,repository,html_url
4273,PLIP: Make Products.CMFEditions a Core Add-on,jensens,open,2026-02-10,2026-02-14,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4273
4263,Plone UI Text Style Guide,mpalomaki,open,2026-01-23,2026-02-12,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4263
4259,PLIP: use `Vite` instead of `webpack`,petschki,open,2026-01-22,2026-01-22,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4259
4260,PLIP: Upgrade `jQuery` to v4,petschki,open,2026-01-21,2026-01-22,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4260
7789,Use `es-toolkit` as drop-in replacement of `lodash`,sneridagh,open,2026-01-14,2026-01-14,,plone/volto,https://github.com/plone/volto/issues/7789
4250,Pre-PLIP: maintenance/recurrent/one-off scripts support,gforcada,open,2026-01-06,2026-02-02,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4250
4245,PLIP: Deprecate Accept-Header-Based REST API Routing in Favor of /++api++/ URLs,mamico,open,2025-12-14,2026-01-03,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4245
4244,PLIP: Provide a pluggable system to integrate external translation services in Plone,erral,open,2025-12-12,2025-12-19,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4244
7688,Backend for Frontend (BFF) for Seven using Nick as BFF,sneridagh,open,2025-12-10,2025-12-17,,plone/volto,https://github.com/plone/volto/issues/7688
4261,PLIP: upgrade `pat-contentbrowser` to Svelte 5,petschki,open,2025-11-14,2026-01-22,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4261
4236,PLIP: Remove or fix getRawRelatedItems index,mauritsvanrees,open,2025-10-29,2025-10-29,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4236
4235,PLIP: Extend Rest API to support AI endpoints,robgietema,open,2025-10-28,2025-10-29,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4235
4220,Proto-PLIP: merge some plone.app and plone packages,mauritsvanrees,open,2025-09-16,2025-09-20,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4220
4213,Plone MCP (Model Context Protocol) Server,danalvrz,open,2025-08-25,2025-12-23,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4213
7253,Add form block to Volto Core,robgietema,open,2025-07-22,2025-11-23,,plone/volto,https://github.com/plone/volto/issues/7253
4187,Enhanced Moderation and User Experience for `plone.app.discussion`,rohnsha0,open,2025-05-30,2025-09-13,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4187
7124,PLIP: Blocks Control Panel,jnptk,open,2025-05-27,2025-11-29,,plone/volto,https://github.com/plone/volto/issues/7124
4146,Deprecate `pat-select2` and replace it with a more up-to-date library,petschki,open,2025-03-21,2025-04-01,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4146
4137,"PLIP: Turn portlets into a core add-on, and combine them",mauritsvanrees,open,2025-03-12,2026-02-13,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4137
4136,PLIP: Make plone.app.customerize a core add-on,mauritsvanrees,open,2025-03-12,2026-02-13,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4136
4126,PLIP Replace pkg_resources in normal code,mauritsvanrees,closed,2025-02-26,2025-11-14,2025-11-14,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4126
4119,Turn plone.app.contentrules in a core-addon,jensens,open,2025-02-19,2025-10-28,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4119
4114,Add native tag-based caching to Plone,pgrunewald,open,2025-02-14,2025-02-14,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4114
4110,"Refactor `plone.app.contentrules` to provide API methods, which `plone.restapi` can use",MrTango,open,2025-02-14,2025-10-24,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4110
4106,Form tabs improvements (Classic UI),ale-rt,open,2025-02-13,2025-10-24,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4106
6669,[Seven] i18n story,sneridagh,open,2025-02-05,2025-03-28,,plone/volto,https://github.com/plone/volto/issues/6669
6643,[CMSUI] - Investigate Plate.js as a drop-in replacement for Slate block,sneridagh,open,2025-02-04,2025-11-03,,plone/volto,https://github.com/plone/volto/issues/6643
4097,"PLIP: Plone 7 Documentation Layout, Structure, Theme, and Search to Improve Usability",stevepiercy,open,2025-02-03,2025-05-09,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4097
6638,Plone 7 frontend (Seven),sneridagh,open,2025-02-02,2025-09-27,,plone/volto,https://github.com/plone/volto/issues/6638
6628,PLIP Process for User Interfacing Changing PLIPs,tisto,open,2025-01-28,2025-02-03,,plone/volto,https://github.com/plone/volto/issues/6628
4088,Store blobs on S3,bsuttor,open,2025-01-09,2025-10-20,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4088
6569,"PLIP: Stacked container block settings so subschema blocks (slider, accordian etc) are easier/powerful by being containers",djay,closed,2025-01-08,2026-01-23,2026-01-23,plone/volto,https://github.com/plone/volto/issues/6569
6559,PLIP: New feature hide and show Volto blocks,SaraBianchi,open,2024-12-27,2025-02-25,,plone/volto,https://github.com/plone/volto/issues/6559
4071,Draft: Plone Multi Factor Authentication ,loechel,open,2024-12-01,2025-04-17,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4071
4070,Plone Mail Settings - Suport for multiple Authentication Schemata,loechel,open,2024-12-01,2025-09-13,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4070
4069,DRAFT: Replace Plone as a rest API with Nick,robgietema,open,2024-11-30,2025-02-19,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4069
6507,Remove any usage of barrel files from core,pnicolli,closed,2024-11-30,2025-02-25,2025-02-25,plone/volto,https://github.com/plone/volto/issues/6507
4068,DRAFT: plone_sudo,loechel,open,2024-11-29,2025-02-18,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4068
4067,Reuse Volto components in Classic UI,mauritsvanrees,open,2024-11-29,2025-02-18,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4067
6505,Dominio diferente para subsite plone ,leandromontenegromachado,closed,2024-11-28,2024-11-30,2024-11-30,plone/volto,https://github.com/plone/volto/issues/6505
6504,PLIP #6504: Make CMS-UI inclusive and accessible,Wagner3UB,open,2024-11-28,2025-09-13,,plone/volto,https://github.com/plone/volto/issues/6504
6396,"Remove ""project"" configuration in Volto (`src/config.js`)",sneridagh,closed,2024-10-11,2025-11-24,2025-11-24,plone/volto,https://github.com/plone/volto/issues/6396
6350,Deprecations issued in Volto 18,sneridagh,closed,2024-09-27,2025-10-27,2025-10-25,plone/volto,https://github.com/plone/volto/issues/6350
6327,Library Upgrades for the next major (19).,tisto,open,2024-09-25,2025-02-04,,plone/volto,https://github.com/plone/volto/issues/6327
6326,Vitest,tisto,closed,2024-09-25,2025-04-12,2025-04-12,plone/volto,https://github.com/plone/volto/issues/6326
6325,`@plone/cmsui` - Seven CMSUI as a standalone app,tisto,open,2024-09-25,2025-02-04,,plone/volto,https://github.com/plone/volto/issues/6325
6324,React Router 7,tisto,closed,2024-09-25,2025-09-16,2025-04-08,plone/volto,https://github.com/plone/volto/issues/6324
6323,Complete removal of Semantic UI from Volto,tisto,closed,2024-09-25,2025-02-02,2025-02-02,plone/volto,https://github.com/plone/volto/issues/6323
6322,Seven Theming System,tisto,open,2024-09-25,2025-02-03,,plone/volto,https://github.com/plone/volto/issues/6322
6321,Remove Semantic UI from CMSUI,tisto,closed,2024-09-25,2025-02-03,2025-02-03,plone/volto,https://github.com/plone/volto/issues/6321
6320,[Deprecated] Vite as Volto bundler,tisto,closed,2024-09-25,2025-02-02,2025-02-02,plone/volto,https://github.com/plone/volto/issues/6320
6316,Improve block style preview in edit mode (Block Model 3),tisto,open,2024-09-24,2025-02-02,,plone/volto,https://github.com/plone/volto/issues/6316
4010,Classic UI: Remove deprecated mockup patterns,petschki,open,2024-09-09,2025-10-24,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4010
6255,Enhanced Accessible Media Workflow,JeffersonBledsoe,open,2024-08-16,2025-12-10,,plone/volto,https://github.com/plone/volto/issues/6255
3987,Create User Manual with screenshots and videos for Plone 6,stevepiercy,open,2024-07-06,2026-02-03,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/3987
6023,Make teaser block dynamic,pbauer,closed,2024-05-16,2024-06-19,2024-06-19,plone/volto,https://github.com/plone/volto/issues/6023
6021,Slots,sneridagh,closed,2024-05-16,2024-05-16,2024-05-16,plone/volto,https://github.com/plone/volto/issues/6021
3958,PLIP: make plone.app.discussion a core add-on [6.1],mauritsvanrees,closed,2024-05-15,2024-10-02,2024-09-09,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/3958
3956,PLIP: make plone.app.multilingual a core add-on [6.1],mauritsvanrees,closed,2024-05-15,2024-05-15,2024-05-15,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/3956
3955,PLIP: Move all Classic UI code into core add-ons,tisto,open,2024-05-15,2025-10-24,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/3955
3954,TinyMCE 7 in Classic UI,mauritsvanrees,closed,2024-05-15,2024-05-15,2024-05-15,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/3954
3953,PLIP: Start separating Classic UI code from the core,tisto,open,2024-05-15,2025-12-12,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/3953
6006,Image Cropping,tisto,open,2024-05-07,2025-09-13,,plone/volto,https://github.com/plone/volto/issues/6006
5952,Users/Groups Control Panel Overhaul (GSoC),tisto,open,2024-04-09,2025-09-16,,plone/volto,https://github.com/plone/volto/issues/5952
3931,Allow for managing third-party javascript integrations to be placed at the end of the head-section as well as the end of the page.,jladage,closed,2024-03-26,2024-04-23,2024-04-23,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/3931
3928,PLIP: Switch to PEP 420 (Implicit namespace packages),mauritsvanrees,closed,2024-03-20,2026-02-13,2026-02-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/3928
3926,PLIP: drop Python 3.8 and 3.9 in Plone 6.1,mauritsvanrees,closed,2024-03-13,2025-09-13,2024-12-16,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/3926
3923,PLIP: Add option to disable parts of Classic UI,mauritsvanrees,open,2024-03-06,2025-10-24,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/3923
3909,"User portrait, allow SVG images as a portrait. Allow site administrator to define dimensions of portrait.",rber474,open,2024-02-25,2025-10-24,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/3909
5641,Upgrade to React 18,sneridagh,closed,2024-01-17,2024-03-08,2024-03-08,plone/volto,https://github.com/plone/volto/issues/5641
5634,Add `pnpm` support for projects/add-ons,sneridagh,closed,2024-01-16,2025-03-08,2024-09-24,plone/volto,https://github.com/plone/volto/issues/5634
4115,PLIP #4115: Enhance timezone support in UI for `plone.app.event` based types,stevepiercy,open,2024-01-16,2026-01-12,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/4115
5627,Update i18n machinery to latest `react-intl`,sneridagh,open,2024-01-16,2025-09-13,,plone/volto,https://github.com/plone/volto/issues/5627
5577,Improve Volto Generator,sneridagh,closed,2023-12-25,2024-11-25,2024-11-25,plone/volto,https://github.com/plone/volto/issues/5577
5507,Get language/multilingual settings from the backend,erral,closed,2023-12-07,2025-09-17,2025-09-17,plone/volto,https://github.com/plone/volto/issues/5507
5423,PLIP: TUS reliable large uploads with simpler file upload UI in volto and better feedback on slow connections,djay,open,2023-11-22,2025-09-13,,plone/volto,https://github.com/plone/volto/issues/5423
5419,Javascript bundle optimization,pnicolli,open,2023-11-21,2025-09-13,,plone/volto,https://github.com/plone/volto/issues/5419
5411,Adopt a full monorepo approach in the Volto repo,sneridagh,closed,2023-11-17,2023-12-16,2023-12-16,plone/volto,https://github.com/plone/volto/issues/5411
3854,Support Distributions to be built on top of Plone,ericof,closed,2023-10-10,2025-03-10,2025-03-10,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/3854
5300,PLIP: Keyword Manager,tisto,open,2023-10-08,2025-10-24,,plone/volto,https://github.com/plone/volto/issues/5300
4779,Drag & Drop between Teaser/Grid Blocks,tisto,closed,2023-05-17,2025-03-08,2024-05-16,plone/volto,https://github.com/plone/volto/issues/4779
4778,"PLIP: Add block index to zcatalog, expose in control panel",tisto,closed,2023-05-17,2025-03-08,2023-07-19,plone/volto,https://github.com/plone/volto/issues/4778
4765,Listing/Search Block Variants for Page/News Item/Event/File,tisto,open,2023-05-15,2025-10-24,,plone/volto,https://github.com/plone/volto/issues/4765
4757,Blocks Navigation Tab,sneridagh,closed,2023-05-12,2024-06-13,2024-06-13,plone/volto,https://github.com/plone/volto/issues/4757
4756,`@plone/contents` - Enhance Contents View,sneridagh,open,2023-05-12,2025-09-16,,plone/volto,https://github.com/plone/volto/issues/4756
3772,ClassicUI: Deprecate `plone.app.widgets`,petschki,closed,2023-04-17,2025-03-12,2025-03-12,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/3772
