organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,years_active,first_contribution,last_contribution
kitconcept,9511,2777,16,"ThomasKindermann, Tishasoumya-02, danalvrz, davisagli, ericof, fredvd, iFlameing, iRohitSingh, jackahl, jaroel, jnptk, reebalazs, robgietema, sneridagh, steffenri, tisto",103,".github, 2023.ploneconf.org, 2024.ploneconf.org, Plone, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.PlonePAS, admin-team, blocks-conversion-tool, bobtemplates.plone, buildout.coredev, code-analysis-action, code-quality, cookiecutter-zope-instance, cookieplone, cookieplone-templates, critical-css-cli, demo.plone.org, documentation, helm-charts, jenkins.plone.org, meta, mockup, mr.roboto, old_plone.org, pastanaga, pastanaga-icons, plone-backend, plone-frontend, plone-zeo, plone.api, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.testing, plone.app.theming, plone.app.users, plone.app.versioningbehavior, plone.app.widgets, plone.app.workflow, plone.autoinclude, plone.base, plone.classicui, plone.de, plone.dexterity, plone.distribution, plone.exportimport, plone.folder, plone.formwidget.hcaptcha, plone.i18n, plone.locking, plone.memoize, plone.namedfile, plone.nl, plone.org, plone.outputfilters, plone.portlet.collection, plone.recipe.codeanalysis, plone.recipe.zope2instance, plone.registry, plone.resource, plone.rest, plone.restapi, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.supermodel, plone.testing, plone.theme, plone.volto, ploneconf.org, ploneconf2016.policy, plonectl, ploneorg.theme, plonetheme.barceloneta, quanta-icons, setup-plone, training, vite-playground, volto, volto-addon-ci, volto-quanta, volto-quanta-project, voltocms.com","2020, 2021, 2022, 2023, 2024",2020-01-05,2024-12-15
Independent,1896,1306,369,"07tAnYa, 1bsilver, 2silver, Aarav238, Abhishek-17h, AbhishekCS3459, AdarshRawat1, Adityaadpandey, Akshat2Jain, AlexBueckig, Ananyasingh2002, AndreasJonsson, Ankuristic, AnshulKahar2729, Aryan8912, Atharvp01, Azzam1503, BhardwajAditya-github, BhavishyaSahay, BhuvaneshPatil, CannedShroud, CoyoteClear340, DhanushShettyH, Dnouv, EshaanAgg, Faakhir30, FarooqAlaulddin, Fosten, FreakForever, FritzHoing, Frs2304, Gagaro, Gomez, Harshit-7373, HarshitVashisht11, Hrittik20, HyperDanisH, IshaanDasgupta, JASIM0021, Junko-Takeguchi, KUNDAN1334, Kaku-g, KartikBudania, Keval404, KshitizRana, LF406353, Lakshay1509, LakshyaRoy, LeuAlmeida, LuisPalomo, MAX-786, Manancode, Manas-Kenge, Mandy767, Manice18, MarcoCouto, MatthewWilkes, Mattiullah134, MihaelaCretu11, MoazMirza-13, MohammadBinAftab, Molochem, Monu01123, MostafaMagdyy, MuktiMishra, Narottamchy, Nimo-19, Nishannb, Noobham, NutNick31, OmkarMishr, OnnaRob, PrasannaGadalGIT, Prince0906, PriyanshuRj, Pulkitxm, Qiwn, Raghvendra9402, Raman-Luhach, Ravi-kumar9347, Rico29, Rishith-S, Rudd-O, Sadeedpv, SaiRev0, SajidCurious, Sakoes, SaraBianchi, SarthakPaandey, SayanDeveloper, Shibbu264, Shivaji2808, Sonamla1797, TC5022, TajAlasfiyaa, TechSubham, ThibautBorn, ThisisMS11, Thokas, TrellixVulnTeam, UnaiEtxaburu, Vansh-Baghel, VarunMotiyani, VedantRaut-sudo, Viratsingh527, Vivek-04022001, VrajRP2004, Xhale1, ZubairImtiaz3, aadarsh-nagrath, aadityaforwork, aashimgarg, abhay-dev2901, abhinaisai2002, ableeb, acatlla, achimwilde, acsr, adam139, aditi028, agan-k, agroszer, ajmalwali7, akshatgarg12, albertcasado, alecghica, alecpm, alexnuttinck, alihamza1221, aliomarmohamed, allusa, andreasma, andreesg, andreiggr, aniket7r, animus888, anirudhhkashyap, anish-patro, antedotee, anukaal, aormazabal, arky, arsenico13, aryamanpuri, aryan7081, askadityapandey, avimishra18, badrivlog, balavec, barcafa, basvanberckel, batlock666, bduncan137, bernhardreiter, bipoza, busykoala, callpri, cdw9, cguardia, chirayu-humar, cihanandac, cillianderoiste, cjwatson, claytonc, cleberjsantos, codic-yeeshu, craftsbyshuvro, csenger, curiousyuvi, daggelpop, damiDev8, danielamormocea, david-batranu, davisagli2, dbitouze, deepanshu202002, deodorhunter, deruosi, dest81, dev-cj, devdanzin, dgsmith2, dheerajk2003, dhruvgupta0503, dmanchon, duchenean, eikichi18, ekulos, erikriver, ewohnlich, fabiorauber, falgunmpatel, faro76, faustoonna, fazalsulaiman, fdiary, frisi, fschulze, fulv, gamboz, gauravsingh94, ghnire, ghost, gitcarbs, h-khkh, hazigabriel, hemant-hc, hipertracker, iamAyushChamoli, idgserpro, ishk9, j-craig, j-durbin, jairhenrique, janjaapdriessen, javiermolinar, jean, jeffheinrichs, jenkins-plone-org, jhgouveia, jianaijun, jihaisse, jimbiscuit, jlp0328, jmevissen, jordic, jotare, jugmac00, julienCarret, justdaksh, kHAPPY2004, kanhaiya04, kd1729, knight-95, kreafox, krissik, kshitiz305, ktsrivastava29, kushfs, kyle-widmann, ladplone, laithmassoud, ldaverio, lenadax, lferran, loechel, lord2anil, lorstenoplo, luxcas, lyralemos, maethu, malthe, margaridasp, marwanatef2, mbarde, mcasagrande18, mdsahiloss, me-kell, mehedikhan72, mgedmin, michaellaunay, mihai-macaneata, mihaislobozeanu, mikejmets, miropaananen, mr-rob, mtoepfl, mtrebron, muditchoudhary, navyn13, ndmaratha, nduka-junior, niglesiaszingoni, nilootpal, nilshofer, nimishmedatwal, ninanoleto, operramon, pabo3000, pandeyprashant123-coder, parruc, perrinjerome, petri, pfreixes, pranayjoshi, prithvi009, priyansh71, psanlorenzo, rabahalishah, raghavKasyap, rahilhastu, rakshith6404, ranjeetrai07, raulclay, ravjot07, razvanMiu, rber474, retr0717, rexalex, rioksane, rishabhv471, rishuraj1, rnicola-1605, rnixx, rnunez80, robdayz, rodfersou, rstefko, sabrina-bongiovanni, sah246ir, sahilkodwani08, sallner, samriddhi99, sans-byte, santonelli, satisshhhhhh, satyam4p, sauzher, sboghy, sdelcourt, sgeulette, shashuat, shiven16, shotat, shubhamtalesara, silviot, silviubogan, singhcoder694, sitanshu05, smcmahon, staeff, sudhanshu1309, suman9893, sumukhah, suryadev99, suyashrastogi7, sverbois, talarias, techdev5521, tedw87, tesudesu, thomlamb, tjprescott, toalba, tobiasherp, tuticapi, ujjwaleee26, ujjwalpathaak, utkkkarshhh, valentinab25, valipod, vanshdeepsingh-coder, veit, veritazx, vermavaishnav70, victorchrollo14, vikashsprem, vincentfretin, vipulgupta28, viveak910, waghanza, winniehell, wolbernd, woolyseal, xiru, yahya-cloud, yashmangal112, zotya, zworkb",110,"2023.ploneconf.org, Installers-UnifiedInstaller, Plone, Products.Archetypes, Products.CMFDiffTool, Products.CMFPlone, Products.ExtendedPathIndex, Products.MimetypesRegistry, Products.isurlinportal, ansible-playbook, ansible.plone_server, archetypes.multilingual, blocks-conversion-tool, bobtemplates.plone, buildout.coredev, cookiecutter-zope-instance, cookieplone, cookieplone-templates, critical-css-cli, diazo, documentation, guillotina, guillotina_elasticsearch, guillotina_gcloudstorage, guillotina_s3storage, helm-charts, meta, mockup, pastanaga-angular, planet.plone.org, plone-backend, plone-frontend, plone-haproxy, plone-zeo, plone.api, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.multilingualindexes, plone.app.portlets, plone.app.querystring, plone.app.robotframework, plone.app.textfield, plone.app.theming, plone.app.themingplugins, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.z3cform, plone.base, plone.com-static, plone.contentrules, plone.de, plone.dexterity, plone.docker, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.hcaptcha, plone.formwidget.namedfile, plone.formwidget.recaptcha, plone.github.io, plone.instanceprofiling, plone.jsonserializer, plone.locking, plone.namedfile, plone.nl, plone.org, plone.outputfilters, plone.portlet.collection, plone.protect, plone.recipe.codeanalysis, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.releaser, plone.restapi, plone.restapi-angular, plone.scale, plone.session, plone.staticresources, plone.testing, plone.volto, plonecli, ploneconf.org, ploneconf2016.policy, ploneorg.core, ploneorg.theme, plonetheme.barceloneta, quickstart, training, volto, volto-addon-ci, volto-reference-backend, zodbverify","2020, 2021, 2022, 2023, 2024",2020-01-05,2024-12-15
py76,7968,938,1,mauritsvanrees,163,".github, Installers-UnifiedInstaller, Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.Marshall, Products.MimetypesRegistry, Products.PloneHotfix20210518, Products.PloneLanguageTool, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, Products.isurlinportal, Products.statusmessages, Products.validation, archetypes.multilingual, archetypes.referencebrowserwidget, archetypes.schemaextender, bobtemplates.plone, borg.localrole, buildout.coredev, classic-ui-team, collective.monkeypatcher, cookiecutter-zope-instance, cookieplone-templates, demo.plone.org, diazo, documentation, five.intid, jenkins.plone.org, meta, mockup, mr.roboto, planet.plone.org, plone-backend, plone.alterego, plone.api, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.folder, plone.app.form, plone.app.i18n, plone.app.imaging, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.base, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.classicui, plone.contentrules, plone.dexterity, plone.distribution, plone.event, plone.exportimport, plone.folder, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.org, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.alltests, plone.recipe.precompiler, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.synchronize, plone.testing, plone.theme, plone.tiles, plone.transformchain, plone.uuid, plone.versioncheck, plone.volto, plone.z3cform, plonetheme.barceloneta, plonetheme.classic, plonetheme.sunburst, setup-plone, training, volto, zodbverify","2020, 2021, 2022, 2023, 2024",2020-01-05,2024-12-15
stevepiercy,2828,699,1,stevepiercy,34,".github, Plone, Products.CMFPlone, ansible-playbook, ansible.plone_server, buildout.coredev, cookieplone, cookieplone-templates, demo.plone.org, documentation, helm-charts, meta, mockup, mr.roboto, plone-backend, plone-sphinx-theme, plone-vs-snippets, plone.api, plone.app.caching, plone.app.theming, plone.base, plone.distribution, plone.org, plone.recipe.zope2instance, plone.rest, plone.restapi, plone.volto, ploneorg.theme, plonetheme.barceloneta, sphinxtheme.plone, training, volto, volto-quanta-project, volto-reference-backend","2020, 2021, 2022, 2023, 2024",2020-01-19,2024-12-29
eau-de-web,1092,571,8,"Petchesi-Iulian, ana-oprea, avoinea, claudiaifrim, dobri1408, ichim-david, nileshgulia1, tiberiuichim",33,"Products.CMFEditions, Products.CMFPlone, buildout.coredev, critical-css-cli, documentation, pastanaga-icons, plone-backend, plone-haproxy, plone.api, plone.app.caching, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.iterate, plone.app.multilingual, plone.app.redirector, plone.app.relationfield, plone.app.versioningbehavior, plone.app.widgets, plone.dexterity, plone.docker, plone.namedfile, plone.portlet.collection, plone.rest, plone.restapi, plone.schema, plone.schemaeditor, plone.volto, training, volto, volto-addon-ci, volto-quanta","2020, 2021, 2022, 2023, 2024",2020-01-12,2024-12-15
kombinat,2289,569,1,petschki,70,"Products.CMFEditions, Products.CMFPlone, Products.PortalTransforms, bobtemplates.plone, buildout.coredev, collective.monkeypatcher, diazo, documentation, jenkins.plone.org, meta, mockup, mr.roboto, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.base, plone.batching, plone.dexterity, plone.formwidget.querystring, plone.formwidget.recurrence, plone.jsonserializer, plone.keyring, plone.locking, plone.namedfile, plone.outputfilters, plone.patternslib, plone.portlet.collection, plone.portlet.static, plone.protect, plone.recipe.haproxy, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.resourceeditor, plone.restapi, plone.schemaeditor, plone.staticresources, plone.testing, plone.theme, plone.versioncheck, plone.volto, plone.z3cform, plonetheme.barceloneta","2020, 2021, 2022, 2023, 2024",2020-04-19,2024-12-22
freitag,2615,486,1,gforcada,115,".github, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PlonePAS, Products.PortalTransforms, Products.isurlinportal, Products.statusmessages, bobtemplates.plone, borg.localrole, buildout.coredev, cookiecutter-zope-instance, documentation, five.intid, jenkins.plone.org, meta, mr.roboto, plone.alterego, plone.api, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.i18n, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.base, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.contentrules, plone.dexterity, plone.distribution, plone.event, plone.folder, plone.formwidget.autocomplete, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.jenkins_node, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.testing, plone.theme, plone.transformchain, plone.uuid, plone.versioncheck, plone.volto, plone.z3cform, plonetheme.barceloneta, setup-plone, training","2020, 2021, 2022, 2023, 2024",2020-01-05,2024-12-22
nuclia,569,470,3,"bloodbare, ebrehault, mpellerin42",9,"documentation, guillotina, guillotina-volto, guillotina_elasticsearch, guillotina_gcloudstorage, guillotina_s3storage, pastanaga-angular, plone.org, volto","2020, 2021, 2022, 2023, 2024",2020-01-05,2024-11-03
redturtle,592,466,8,"Wagner3UB, cekk, folix-01, giuliaghisini, mamico, nzambello, pnicolli, yurj",40,"Products.CMFPlone, Products.PortalTransforms, blocks-conversion-tool, bobtemplates.plone, buildout.coredev, cookieplone-templates, documentation, mockup, plone-backend, plone-frontend, plone-zeo, plone.app.caching, plone.app.contentmenu, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.layout, plone.app.multilingual, plone.app.querystring, plone.app.tiles, plone.app.users, plone.dexterity, plone.distribution, plone.docker, plone.event, plone.formwidget.hcaptcha, plone.formwidget.namedfile, plone.namedfile, plone.org, plone.recipe.zope2instance, plone.rest, plone.restapi, plone.scale, plone.staticresources, plone.volto, ploneorg.theme, plonetheme.barceloneta, training, volto","2020, 2021, 2022, 2023, 2024",2020-01-05,2024-12-29
syslab,1603,432,4,"ale-rt, reinhardt, svx, thet",83,"Installers-UnifiedInstaller, Products.CMFEditions, Products.CMFPlone, Products.PlonePAS, Products.PortalTransforms, bobtemplates.plone, buildout.coredev, cookieplone-templates, documentation, guillotina, meta, mockup, pat-content-browser, planet.plone.org, plone.api, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.widgets, plone.app.workflowmanager, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.base, plone.classicui, plone.dexterity, plone.distribution, plone.docker, plone.event, plone.formwidget.hcaptcha, plone.formwidget.namedfile, plone.formwidget.recaptcha, plone.formwidget.recurrence, plone.i18n, plone.jsonserializer, plone.memoize, plone.namedfile, plone.patternslib, plone.portlets, plone.protect, plone.recipe.haproxy, plone.recipe.zope2instance, plone.reload, plone.resource, plone.rest, plone.restapi, plone.scale, plone.schemaeditor, plone.session, plone.staticresources, plone.supermodel, plone.tiles, plone.versioncheck, plone.volto, plone.z3cform, plonecli, plonetheme.barceloneta, training, volto","2020, 2021, 2022, 2023, 2024",2020-01-05,2024-12-15
