organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,years_active,first_contribution,last_contribution
kitconcept,6044,1936,16,"ThomasKindermann, Tishasoumya-02, danalvrz, davisagli, ericof, fredvd, iFlameing, iRohitSingh, jackahl, jaroel, jnptk, reebalazs, robgietema, sneridagh, steffenri, tisto",83,".github, 2023.ploneconf.org, 2024.ploneconf.org, Plone, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.PlonePAS, blocks-conversion-tool, bobtemplates.plone, buildout.coredev, code-analysis-action, code-quality, cookiecutter-zope-instance, cookieplone, cookieplone-templates, demo.plone.org, documentation, helm-charts, jenkins.plone.org, meta, mockup, mr.roboto, old_plone.org, pastanaga, pastanaga-icons, plone-backend, plone-frontend, plone-zeo, plone.api, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.relationfield, plone.app.robotframework, plone.app.testing, plone.app.users, plone.app.versioningbehavior, plone.autoinclude, plone.base, plone.classicui, plone.de, plone.dexterity, plone.distribution, plone.exportimport, plone.folder, plone.formwidget.hcaptcha, plone.i18n, plone.memoize, plone.namedfile, plone.nl, plone.org, plone.outputfilters, plone.portlet.collection, plone.resource, plone.rest, plone.restapi, plone.scale, plone.schemaeditor, plone.session, plone.testing, plone.theme, plone.volto, ploneconf.org, plonectl, ploneorg.theme, quanta-icons, setup-plone, training, vite-playground, volto, volto-quanta, volto-quanta-project","2022, 2023, 2024",2022-01-02,2024-12-15
py76,5277,590,1,mauritsvanrees,136,".github, Installers-UnifiedInstaller, Plone, Products.ATContentTypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.MimetypesRegistry, Products.PlonePAS, Products.PortalTransforms, Products.isurlinportal, Products.statusmessages, Products.validation, bobtemplates.plone, borg.localrole, buildout.coredev, classic-ui-team, collective.monkeypatcher, cookiecutter-zope-instance, cookieplone-templates, demo.plone.org, diazo, documentation, five.intid, jenkins.plone.org, meta, mockup, mr.roboto, planet.plone.org, plone-backend, plone.alterego, plone.api, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.i18n, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.vulnerabilities, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.base, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.classicui, plone.contentrules, plone.dexterity, plone.distribution, plone.event, plone.exportimport, plone.folder, plone.formwidget.autocomplete, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.org, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.testing, plone.theme, plone.transformchain, plone.uuid, plone.versioncheck, plone.volto, plone.z3cform, plonetheme.barceloneta, setup-plone, training, volto, zodbverify","2022, 2023, 2024",2022-01-02,2024-12-15
stevepiercy,2609,680,1,stevepiercy,33,".github, Plone, Products.CMFPlone, ansible-playbook, buildout.coredev, cookieplone, cookieplone-templates, demo.plone.org, documentation, helm-charts, meta, mockup, mr.roboto, plone-backend, plone-sphinx-theme, plone-vs-snippets, plone.api, plone.app.caching, plone.app.theming, plone.base, plone.distribution, plone.org, plone.recipe.zope2instance, plone.rest, plone.restapi, plone.volto, ploneorg.theme, plonetheme.barceloneta, sphinxtheme.plone, training, volto, volto-quanta-project, volto-reference-backend","2022, 2023, 2024",2022-01-02,2024-12-29
freitag,2578,469,1,gforcada,115,".github, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.MimetypesRegistry, Products.PlacelessTranslationService, Products.PlonePAS, Products.PortalTransforms, Products.isurlinportal, Products.statusmessages, bobtemplates.plone, borg.localrole, buildout.coredev, cookiecutter-zope-instance, documentation, five.intid, jenkins.plone.org, meta, mr.roboto, plone.alterego, plone.api, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.customerize, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.i18n, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.autoinclude, plone.base, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.contentrules, plone.dexterity, plone.distribution, plone.event, plone.folder, plone.formwidget.autocomplete, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.jenkins_node, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.testing, plone.theme, plone.transformchain, plone.uuid, plone.versioncheck, plone.volto, plone.z3cform, plonetheme.barceloneta, setup-plone, training","2022, 2023, 2024",2022-01-23,2024-12-22
kombinat,2065,484,1,petschki,59,"Products.CMFPlone, Products.PortalTransforms, bobtemplates.plone, buildout.coredev, collective.monkeypatcher, diazo, documentation, jenkins.plone.org, meta, mockup, mr.roboto, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentmenu, plone.app.contenttypes, plone.app.dexterity, plone.app.drafts, plone.app.event, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.standardtiles, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.base, plone.formwidget.recurrence, plone.jsonserializer, plone.keyring, plone.locking, plone.namedfile, plone.outputfilters, plone.patternslib, plone.portlet.static, plone.protect, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.restapi, plone.schemaeditor, plone.staticresources, plone.testing, plone.theme, plone.versioncheck, plone.volto, plone.z3cform, plonetheme.barceloneta","2022, 2023, 2024",2022-01-09,2024-12-22
kleinundpartner,1256,197,1,jensens,73,"Plone, Products.CMFDiffTool, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.MimetypesRegistry, Products.PlonePAS, Products.PortalTransforms, bobtemplates.plone, borg.localrole, buildout.coredev, cookiecutter-zope-instance, cookieplone-templates, documentation, helm-charts, meta, mockup, old_plone.org, plone-backend, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.i18n, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.registry, plone.app.standardtiles, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.viewletmanager, plone.app.vocabularies, plone.app.workflow, plone.app.z3cform, plone.base, plone.batching, plone.behavior, plone.cachepurging, plone.classicui, plone.dexterity, plone.i18n, plone.keyring, plone.locking, plone.namedfile, plone.org, plone.outputfilters, plone.portlet.collection, plone.protect, plone.registry, plone.restapi, plone.rfc822, plone.scale, plone.schema, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.volto, training, volto","2022, 2023, 2024",2022-01-02,2024-11-24
Independent,1007,771,289,"07tAnYa, Aarav238, Abhishek-17h, AbhishekCS3459, AdarshRawat1, Adityaadpandey, Akshat2Jain, Ananyasingh2002, AndreasJonsson, Ankuristic, AnshulKahar2729, Aryan8912, Atharvp01, Azzam1503, BhardwajAditya-github, BhavishyaSahay, BhuvaneshPatil, CannedShroud, CoyoteClear340, DhanushShettyH, Dnouv, EshaanAgg, Faakhir30, FarooqAlaulddin, Fosten, FreakForever, FritzHoing, Frs2304, Gagaro, Gomez, Harshit-7373, HarshitVashisht11, Hrittik20, HyperDanisH, IshaanDasgupta, JASIM0021, Junko-Takeguchi, KUNDAN1334, Kaku-g, KartikBudania, Keval404, KshitizRana, LF406353, Lakshay1509, LakshyaRoy, LuisPalomo, MAX-786, Manancode, Manas-Kenge, Mandy767, Manice18, Mattiullah134, MihaelaCretu11, MoazMirza-13, MohammadBinAftab, Molochem, Monu01123, MostafaMagdyy, MuktiMishra, Narottamchy, Nimo-19, Nishannb, Noobham, NutNick31, OmkarMishr, OnnaRob, PrasannaGadalGIT, Prince0906, PriyanshuRj, Pulkitxm, Raghvendra9402, Raman-Luhach, Ravi-kumar9347, Rico29, Rishith-S, Rudd-O, Sadeedpv, SaiRev0, SajidCurious, Sakoes, SaraBianchi, SarthakPaandey, SayanDeveloper, Shibbu264, Shivaji2808, Sonamla1797, TC5022, TajAlasfiyaa, TechSubham, ThibautBorn, ThisisMS11, TrellixVulnTeam, UnaiEtxaburu, Vansh-Baghel, VarunMotiyani, VedantRaut-sudo, Viratsingh527, Vivek-04022001, VrajRP2004, Xhale1, ZubairImtiaz3, aadarsh-nagrath, aadityaforwork, abhay-dev2901, abhinaisai2002, adam139, aditi028, agan-k, ajmalwali7, akshatgarg12, alecghica, alecpm, alexnuttinck, alihamza1221, aliomarmohamed, andreasma, andreiggr, aniket7r, animus888, anirudhhkashyap, anish-patro, antedotee, anukaal, aormazabal, arky, aryan7081, askadityapandey, avimishra18, badrivlog, barcafa, bernhardreiter, bipoza, callpri, cguardia, chirayu-humar, cihanandac, cillianderoiste, claytonc, codic-yeeshu, curiousyuvi, danielamormocea, david-batranu, davisagli2, dbitouze, deepanshu202002, deodorhunter, deruosi, dev-cj, devdanzin, dgsmith2, dheerajk2003, dhruvgupta0503, duchenean, eikichi18, erikriver, ewohnlich, fabiorauber, falgunmpatel, faro76, faustoonna, fdiary, gauravsingh94, ghnire, ghost, gitcarbs, h-khkh, hazigabriel, hemant-hc, hipertracker, iamAyushChamoli, ishk9, j-durbin, jairhenrique, javiermolinar, jean, jenkins-plone-org, jhgouveia, jimbiscuit, jmevissen, jotare, julienCarret, justdaksh, kHAPPY2004, kanhaiya04, kd1729, knight-95, kreafox, krissik, kshitiz305, ktsrivastava29, kushfs, kyle-widmann, lenadax, loechel, lord2anil, lorstenoplo, luxcas, maethu, malthe, margaridasp, marwanatef2, mbarde, mcasagrande18, mdsahiloss, me-kell, mehedikhan72, mihaislobozeanu, mikejmets, miropaananen, mtoepfl, mtrebron, muditchoudhary, navyn13, ndmaratha, nduka-junior, niglesiaszingoni, nilootpal, nimishmedatwal, ninanoleto, operramon, pandeyprashant123-coder, perrinjerome, pranayjoshi, prithvi009, priyansh71, rabahalishah, raghavKasyap, rahilhastu, rakshith6404, raulclay, ravjot07, razvanMiu, rber474, retr0717, rexalex, rioksane, rishabhv471, rishuraj1, rnicola-1605, rnixx, rnunez80, rstefko, sabrina-bongiovanni, sah246ir, sahilkodwani08, samriddhi99, sans-byte, santonelli, satisshhhhhh, satyam4p, sauzher, sboghy, sdelcourt, shashuat, shiven16, shubhamtalesara, silviubogan, singhcoder694, sitanshu05, sudhanshu1309, suman9893, suryadev99, suyashrastogi7, sverbois, talarias, tedw87, tesudesu, thomlamb, tjprescott, toalba, ujjwaleee26, ujjwalpathaak, utkkkarshhh, valentinab25, valipod, vanshdeepsingh-coder, veritazx, vermavaishnav70, victorchrollo14, vikashsprem, vipulgupta28, viveak910, winniehell, wolbernd, woolyseal, xiru, yahya-cloud, yashmangal112, zworkb",73,"2023.ploneconf.org, Installers-UnifiedInstaller, Plone, Products.CMFPlone, Products.MimetypesRegistry, blocks-conversion-tool, bobtemplates.plone, buildout.coredev, cookiecutter-zope-instance, cookieplone, cookieplone-templates, documentation, guillotina, guillotina_gcloudstorage, guillotina_s3storage, helm-charts, meta, mockup, pastanaga-angular, plone-backend, plone-frontend, plone-zeo, plone.api, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.viewletmanager, plone.app.z3cform, plone.base, plone.de, plone.dexterity, plone.docker, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.recaptcha, plone.instanceprofiling, plone.locking, plone.namedfile, plone.nl, plone.org, plone.outputfilters, plone.portlet.collection, plone.protect, plone.recipe.zope2instance, plone.releaser, plone.restapi, plone.restapi-angular, plone.session, plone.staticresources, plone.volto, plonecli, ploneconf.org, plonetheme.barceloneta, quickstart, training, volto, volto-addon-ci, volto-reference-backend","2022, 2023, 2024",2022-01-02,2024-12-15
syslab,803,213,4,"ale-rt, reinhardt, svx, thet",57,"Products.CMFEditions, Products.CMFPlone, Products.PlonePAS, Products.PortalTransforms, bobtemplates.plone, buildout.coredev, cookieplone-templates, documentation, meta, mockup, pat-content-browser, plone.api, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.querystring, plone.app.robotframework, plone.app.standardtiles, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.viewletmanager, plone.app.widgets, plone.app.z3cform, plone.base, plone.classicui, plone.dexterity, plone.distribution, plone.event, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.memoize, plone.namedfile, plone.patternslib, plone.portlets, plone.protect, plone.recipe.zope2instance, plone.restapi, plone.schemaeditor, plone.session, plone.staticresources, plone.versioncheck, plone.volto, plonetheme.barceloneta, volto","2022, 2023, 2024",2022-01-02,2024-12-15
rohberg,777,177,1,ksuess,20,"Plone, Products.CMFPlone, buildout.coredev, cookieplone-templates, demo.plone.org, documentation, guillotina, plone.api, plone.app.content, plone.app.dexterity, plone.app.discussion, plone.app.linkintegrity, plone.app.upgrade, plone.app.z3cform, plone.exportimport, plone.formwidget.hcaptcha, plone.restapi, plone.volto, training, volto","2022, 2023, 2024",2022-01-02,2024-12-22
derico,684,91,1,MrTango,33,"Products.CMFPlone, ansible.plone_server, bobtemplates.plone, buildout.coredev, classic-ui-team, documentation, mockup, plone-vs-snippets, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.layout, plone.app.standardtiles, plone.app.upgrade, plone.app.users, plone.app.widgets, plone.app.z3cform, plone.autoinclude, plone.base, plone.classicui, plone.gallery, plone.namedfile, plone.outputfilters, plone.pdfexport, plone.scale, plone.schema, plone.staticresources, plone.typesense, plonecli, plonetheme.barceloneta, training, volto","2022, 2023, 2024",2022-01-02,2024-11-17
