year,total_commits,total_pull_requests,total_contributors,total_organisations,unique_repositories,pr_to_commit_ratio,commits_per_contributor,prs_per_contributor,commits_growth,prs_growth,contributors_growth,orgs_growth
2003,34,0,2,2,1,0.0,17.0,0.0,,,,
2004,355,0,13,5,4,0.0,27.31,0.0,944.1,,550.0,150.0
2005,1146,0,29,10,13,0.0,39.52,0.0,222.8,,123.1,100.0
2006,784,0,24,10,22,0.0,32.67,0.0,-31.6,,-17.2,0.0
2007,3192,0,56,17,52,0.0,57.0,0.0,307.1,,133.3,70.0
2008,2151,0,50,17,74,0.0,43.02,0.0,-32.6,,-10.7,0.0
2009,4005,0,60,20,95,0.0,66.75,0.0,86.2,,20.0,17.6
2010,5074,0,72,23,117,0.0,70.47,0.0,26.7,,20.0,15.0
2012,5439,442,195,34,140,8.13,27.89,2.27,7.2,inf,170.8,47.8
2013,7775,620,236,33,136,7.97,32.94,2.63,42.9,40.3,21.0,-2.9
2014,6085,879,201,38,156,14.45,30.27,4.37,-21.7,41.8,-14.8,15.2
2015,12593,1816,181,36,169,14.42,69.57,10.03,107.0,106.6,-10.0,-5.3
2016,8974,1977,152,35,178,22.03,59.04,13.01,-28.7,8.9,-16.0,-2.8
2017,7746,1837,165,38,171,23.72,46.95,11.13,-13.7,-7.1,8.6,8.6
2018,9164,2221,163,40,187,24.24,56.22,13.63,18.3,20.9,-1.2,5.3
2019,5541,1807,161,40,193,32.61,34.42,11.22,-39.5,-18.6,-1.2,0.0
2020,5745,1944,150,39,181,33.84,38.3,12.96,3.7,7.6,-6.8,-2.5
2021,6838,1901,150,40,152,27.8,45.59,12.67,19.0,-2.2,0.0,2.6
2022,11633,2509,156,35,142,21.57,74.57,16.08,70.1,32.0,4.0,-12.5
2023,8885,2600,226,32,155,29.26,39.31,11.5,-23.6,3.6,44.9,-8.6
2024,5992,2003,170,30,144,33.43,35.25,11.78,-32.6,-23.0,-24.8,-6.2
2025,3874,2568,172,31,161,66.29,22.52,14.93,-35.3,28.2,1.2,3.3
